PHC[313760105000013]		6401	Dist (km)
>	L[313760105000011]	305	0.61
>	L[313760105000012]	543	0.45
>	L[313760105000013]	620	0.00
>	L[313760105000016]	139	1.34
>	L[313760105000088]	331	1.20
>	L[313760105000089]	219	0.53
>	L[313760105000090]	533	0.54
>	L[313760105000091]	339	0.66
>	L[313760105000092]	58	1.52
>	L[313760105000094]	505	0.75
>	L[313760105000097]	179	1.21
>	L[313760105000098]	193	1.25
>	L[313760105000145]	215	2.39
>	L[313760105000270]	343	0.94
>	L[313760114000009]	23	3.26
>	L[SHC1]	1536	20.00
>	L[THC1]	320	25.00
PHC[313760105000076]		6269	Dist (km)
>	L[313760105000009]	426	1.05
>	L[313760105000010]	294	0.79
>	L[313760105000015]	607	1.21
>	L[313760105000074]	428	0.54
>	L[313760105000075]	174	0.26
>	L[313760105000076]	150	0.00
>	L[313760105000077]	314	0.26
>	L[313760105000078]	238	0.64
>	L[313760105000080]	263	0.31
>	L[313760105000082]	176	0.76
>	L[313760105000084]	151	0.36
>	L[313760105000085]	182	0.35
>	L[313760105000086]	390	0.53
>	L[313760105000212]	154	0.82
>	L[313760105000248]	320	0.94
>	L[313760105000257]	184	0.54
>	L[SHC1]	1504	20.00
>	L[THC1]	313	25.00
PHC[313760105000102]		3304	Dist (km)
>	L[313760105000103]	238	0.87
>	L[313760105000105]	462	0.80
>	L[313760105000114]	9	2.44
>	L[313760105000170]	329	0.40
>	L[313760105000272]	337	2.30
>	L[313760105000273]	320	2.55
>	L[313760105000274]	269	0.47
>	L[313760105000275]	272	0.48
>	L[313760105000284]	51	1.41
>	L[313760105000285]	59	2.18
>	L[SHC1]	793	20.00
>	L[THC1]	165	25.00
PHC[313760105000122]		6518	Dist (km)
>	L[313760105000027]	582	0.54
>	L[313760105000028]	317	0.31
>	L[313760105000122]	378	0.00
>	L[313760105000128]	773	0.70
>	L[313760105000147]	306	2.17
>	L[313760105000177]	320	0.83
>	L[313760105000179]	195	1.09
>	L[313760105000207]	390	0.47
>	L[313760105000208]	405	0.26
>	L[313760105000217]	369	0.65
>	L[313760105000218]	276	0.40
>	L[313760105000250]	152	0.50
>	L[313760105000251]	165	0.36
>	L[SHC1]	1564	20.00
>	L[THC1]	326	25.00
PHC[313760105000125]		3670	Dist (km)
>	L[313760105000020]	300	0.74
>	L[313760105000022]	194	0.75
>	L[313760105000099]	369	1.53
>	L[313760105000108]	166	0.50
>	L[313760105000109]	239	0.26
>	L[313760105000110]	330	1.04
>	L[313760105000124]	163	0.26
>	L[313760105000125]	98	0.00
>	L[313760105000165]	209	0.32
>	L[313760105000203]	292	0.59
>	L[313760105000204]	246	0.78
>	L[SHC1]	881	20.00
>	L[THC1]	183	25.00
PHC[313760105000132]		6297	Dist (km)
>	L[313760105000037]	418	0.38
>	L[313760105000132]	336	0.00
>	L[313760105000133]	431	0.77
>	L[313760105000175]	238	0.16
>	L[313760105000236]	309	0.58
>	L[313760105000237]	411	0.70
>	L[313760105000242]	282	0.61
>	L[313760105000243]	366	0.37
>	L[313760105000252]	348	0.98
>	L[313760105000253]	330	0.78
>	L[313760105000278]	656	0.40
>	L[313760105000279]	346	0.52
>	L[SHC1]	1511	20.00
>	L[THC1]	315	25.00
PHC[313760105000135]		3250	Dist (km)
>	L[313760105000039]	554	0.63
>	L[313760105000040]	308	0.86
>	L[313760105000136]	186	0.53
>	L[313760105000219]	444	0.95
>	L[313760105000232]	258	1.52
>	L[313760105000233]	96	1.34
>	L[313760105000260]	179	0.59
>	L[313760105000262]	281	0.57
>	L[313760105000263]	2	0.84
>	L[SHC1]	780	20.00
>	L[THC1]	163	25.00
PHC[313760105000139]		11079	Dist (km)
>	L[313760105000064]	390	0.78
>	L[313760105000139]	256	0.00
>	L[313760105000152]	124	3.25
>	L[313760105000162]	258	0.42
>	L[313760105000163]	254	0.44
>	L[313760105000164]	363	0.60
>	L[313760105000182]	401	0.63
>	L[313760105000184]	404	0.74
>	L[313760105000185]	388	0.90
>	L[313760105000190]	231	1.37
>	L[313760105000191]	284	1.32
>	L[313760105000192]	73	1.93
>	L[313760105000193]	438	1.10
>	L[313760105000194]	8	1.07
>	L[313760105000209]	489	0.54
>	L[313760115000003]	412	3.06
>	L[313760115000015]	8	2.20
>	L[313760115000020]	925	2.31
>	L[313760115000021]	163	1.94
>	L[313760115000022]	243	2.22
>	L[313760115000024]	303	2.49
>	L[313760115000025]	334	2.17
>	L[313760115000027]	339	2.77
>	L[313760115000029]	122	2.67
>	L[313760115000030]	73	2.95
>	L[313760115000031]	352	3.23
>	L[313760115000034]	231	1.28
>	L[SHC1]	2659	20.00
>	L[THC1]	554	25.00
PHC[313760105000168]		2614	Dist (km)
>	L[313760105000029]	191	0.66
>	L[313760105000067]	193	0.44
>	L[313760105000126]	178	0.37
>	L[313760105000127]	425	0.25
>	L[313760105000168]	312	0.00
>	L[313760105000169]	241	0.30
>	L[313760105000176]	316	0.26
>	L[SHC1]	627	20.00
>	L[THC1]	131	25.00
PHC[313760105000186]		6348	Dist (km)
>	L[313760105000045]	338	0.43
>	L[313760105000140]	416	0.29
>	L[313760105000141]	158	0.52
>	L[313760105000186]	199	0.00
>	L[313760105000187]	240	0.21
>	L[313760105000222]	130	1.15
>	L[313760105000225]	171	1.59
>	L[313760105000226]	315	1.18
>	L[313760105000227]	431	0.74
>	L[313760105000228]	228	0.75
>	L[313760105000229]	457	1.18
>	L[313760105000254]	163	0.75
>	L[313760105000266]	241	0.60
>	L[313760105000267]	209	0.76
>	L[313760105000268]	315	0.55
>	L[313760105000281]	119	2.19
>	L[313760105000283]	378	0.70
>	L[SHC1]	1523	20.00
>	L[THC1]	317	25.00
PHC[313760105000201]		3023	Dist (km)
>	L[313760105000096]	180	0.88
>	L[313760105000101]	29	1.14
>	L[313760105000198]	262	0.17
>	L[313760105000199]	413	0.28
>	L[313760105000201]	293	0.00
>	L[313760105000202]	372	0.26
>	L[313760105000213]	254	0.45
>	L[313760105000214]	293	0.58
>	L[313760105000265]	51	1.33
>	L[SHC1]	726	20.00
>	L[THC1]	151	25.00
PHC[313760105000235]		6205	Dist (km)
>	L[313760105000024]	94	2.76
>	L[313760105000026]	347	0.69
>	L[313760105000050]	3	4.02
>	L[313760105000058]	177	2.52
>	L[313760105000112]	86	1.59
>	L[313760105000118]	264	1.38
>	L[313760105000120]	330	1.02
>	L[313760105000161]	452	0.72
>	L[313760105000166]	385	1.26
>	L[313760105000167]	333	1.28
