SHC[SHC1]		20321	Dist (km)
>	L[CLU_1001]	117	20.00
>	L[CLU_1002]	117	20.00
>	L[CLU_1011]	244	20.00
>	L[CLU_1024]	128	20.00
>	L[CLU_1026]	48	20.00
>	L[CLU_1033]	166	20.00
>	L[CLU_1043]	194	20.00
>	L[CLU_1059]	194	20.00
>	L[CLU_1096]	199	20.00
>	L[CLU_1105]	92	20.00
>	L[CLU_1114]	122	20.00
>	L[CLU_1119]	171	20.00
>	L[CLU_1120]	176	20.00
>	L[CLU_1122]	92	20.00
>	L[CLU_1129]	92	20.00
>	L[CLU_1131]	84	20.00
>	L[CLU_1150]	128	20.00
>	L[CLU_1157]	94	20.00
>	L[CLU_1195]	193	20.00
>	L[CLU_1196]	62	20.00
>	L[CLU_1197]	148	20.00
>	L[CLU_1199]	151	20.00
>	L[CLU_1200]	161	20.00
>	L[CLU_1209]	160	20.00
>	L[CLU_1215]	171	20.00
>	L[CLU_1227]	211	20.00
>	L[CLU_1228]	160	20.00
>	L[CLU_1255]	218	20.00
>	L[CLU_1264]	182	20.00
>	L[CLU_1271]	209	20.00
>	L[CLU_1282]	186	20.00
>	L[CLU_1296]	199	20.00
>	L[CLU_1300]	157	20.00
>	L[CLU_1312]	169	20.00
>	L[CLU_1314]	108	20.00
>	L[CLU_1338]	101	20.00
>	L[CLU_1340]	195	20.00
>	L[CLU_1346]	26	20.00
>	L[CLU_1348]	135	20.00
>	L[CLU_1349]	135	20.00
>	L[CLU_1353]	207	20.00
>	L[CLU_1372]	211	20.00
>	L[CLU_1390]	191	20.00
>	L[CLU_1396]	227	20.00
>	L[CLU_1401]	183	20.00
>	L[CLU_1407]	179	20.00
>	L[CLU_1418]	136	20.00
>	L[CLU_1422]	129	20.00
>	L[CLU_1451]	211	20.00
>	L[CLU_1453]	218	20.00
>	L[CLU_1454]	209	20.00
>	L[CLU_1457]	194	20.00
>	L[CLU_1466]	215	20.00
>	L[CLU_1472]	367	20.00
>	L[CLU_1477]	226	20.00
>	L[CLU_1491]	216	20.00
>	L[CLU_1499]	103	20.00
>	L[CLU_1527]	91	20.00
>	L[CLU_1528]	151	20.00
>	L[CLU_1536]	30	20.00
>	L[CLU_1547]	134	20.00
>	L[CLU_1575]	125	20.00
>	L[CLU_1583]	97	20.00
>	L[CLU_1588]	218	20.00
>	L[CLU_1599]	191	20.00
>	L[CLU_1607]	230	20.00
>	L[CLU_1621]	105	20.00
>	L[CLU_2192]	188	20.00
>	L[CLU_2196]	149	20.00
>	L[CLU_2200]	224	20.00
>	L[CLU_2201]	308	20.00
>	L[CLU_2202]	247	20.00
>	L[CLU_726]	119	20.00
>	L[CLU_728]	255	20.00
>	L[CLU_780]	177	20.00
>	L[CLU_787]	179	20.00
>	L[CLU_817]	184	20.00
>	L[CLU_870]	230	20.00
>	L[CLU_902]	116	20.00
>	L[CLU_904]	144	20.00
>	L[3106200024120]	115	20.00
>	L[3106207772106]	154	20.00
>	L[3106200022861]	265	20.00
>	L[3106200022926]	141	20.00
>	L[3106200022896]	78	20.00
>	L[3106200023183]	273	20.00
>	L[3106200023205]	184	20.00
>	L[3106202695758]	86	20.00
>	L[3106203557472]	170	20.00
>	L[3106200023353]	73	20.00
>	L[3106200023450]	94	20.00
>	L[3106200024007]	423	20.00
>	L[3106200022551]	232	20.00
>	L[3106200022675]	120	20.00
>	L[3106200023116]	306	20.00
>	L[3106204908732]	145	20.00
>	L[3106200023159]	122	20.00
>	L[3106200023795]	322	20.00
>	L[3106202695456]	301	20.00
>	L[3106200023728]	251	20.00
>	L[3106200023701]	189	20.00
>	L[3106200023515]	143	20.00
>	L[3106200023744]	244	20.00
>	L[3106200023655]	266	20.00
>	L[3106200023671]	386	20.00
>	L[THC1]	2032	20.00
