THC[THC1]		6138	Dist (km)
>	L[CLU_1378]	180	25.00
>	L[CLU_1621]	147	25.00
>	L[CLU_1625]	101	25.00
>	L[CLU_1627]	13	25.00
>	L[CLU_1642]	105	25.00
>	L[CLU_1664]	114	25.00
>	L[CLU_1666]	152	25.00
>	L[CLU_2191]	28	25.00
>	L[CLU_2193]	216	25.00
>	L[CLU_2194]	52	25.00
>	L[CLU_2198]	10	25.00
>	L[CLU_2203]	211	25.00
>	L[CLU_624]	157	25.00
>	L[CLU_651]	140	25.00
>	L[CLU_688]	195	25.00
>	L[CLU_694]	95	25.00
>	L[CLU_730]	105	25.00
>	L[CLU_735]	101	25.00
>	L[CLU_744]	89	25.00
>	L[CLU_761]	158	25.00
>	L[CLU_764]	139	25.00
>	L[CLU_815]	122	25.00
>	L[CLU_860]	124	25.00
>	L[CLU_868]	29	25.00
>	L[CLU_879]	60	25.00
>	L[CLU_886]	164	25.00
>	L[CLU_889]	134	25.00
>	L[CLU_891]	101	25.00
>	L[CLU_897]	16	25.00
>	L[CLU_899]	146	25.00
>	L[CLU_921]	165	25.00
>	L[CLU_926]	265	25.00
>	L[CLU_931]	132	25.00
>	L[CLU_950]	142	25.00
>	L[CLU_961]	211	25.00
>	L[CLU_966]	192	25.00
>	L[CLU_973]	121	25.00
>	L[CLU_974]	117	25.00
>	L[CLU_980]	162	25.00
>	L[3106200024139]	74	25.00
>	L[3106200022675]	24	25.00
>	L[3106205471532]	515	25.00
>	L[SHC1]	614	20.00
