PHC	Capty	Exp	TCapty	Met	Use
[313760105000013]	3000	6000	9000	6401	 0.71
[313760105000076]	3000	6000	9000	6269	 0.70
[313760105000102]	6000	0	6000	3304	 0.55
[313760105000122]	3000	6000	9000	6518	 0.72
[313760105000125]	3000	3000	6000	3670	 0.61
[313760105000132]	3000	6000	9000	6297	 0.70
[313760105000135]	6000	0	6000	3250	 0.54
[313760105000139]	6000	6000	12000	11079	 0.92
[313760105000168]	3000	0	3000	2614	 0.87
[313760105000186]	3000	6000	9000	6348	 0.71
[313760105000201]	3000	3000	6000	3023	 0.50
[313760105000235]	3000	6000	9000	6205	 0.69
[313760105000239]	6000	0	6000	2909	 0.48
[313760105000259]	3000	3000	6000	3120	 0.52
[313760105000264]	3000	0	3000	799	 0.27
[313760114000010*]	3000	-	3000	626	 0.21
[313760115000006*]	3000	-	3000	2500	 0.83
