From	To	Team	Qty	Dist (km)
[313760105000102]	[313760105000235]	eSF	1.00	4.02
[313760105000135]	[313760105000186]	eSF	1.00	1.54
[313760105000239]	[313760115000006]*	eSF	1.00	11.68
[313760105000239]	[313760115000006]*	eSB	1.00	11.68
[313760105000201]	[313760105000235]	ACS	1.00	3.65
[313760105000201]	[313760115000006]*	ACS	1.00	14.19
[313760105000239]	[313760105000259]	ACS	1.00	1.93
[313760105000239]	[313760115000006]*	ACS	1.00	11.68
[313760105000264]	[313760114000010]*	ACS	1.00	10.79
[313760105000264]	[313760115000006]*	ACS	1.00	10.08
