Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3106200022772]	eSF	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200022772]	eSB	0.0	0.00	0.0	0.0	0.0	0.0	0.1
[3106200022772]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022772]	ACS	1.0	0.00	0.0	0.0	1.0	0.6	0.0
[3106200023388]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023388]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023388]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023388]	ACS	12.0	1.00	0.0	0.0	12.0	11.2	0.0
[3106200024155]	eSF	4.0	0.00	0.0	0.0	4.0	3.7	0.0
[3106200024155]	eSB	2.0	0.00	0.0	0.0	2.0	1.7	0.0
[3106200024155]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024155]	ACS	12.0	1.00	0.0	0.0	12.0	10.9	0.0
[3106200024139]	eSF	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200024139]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200024139]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200024139]	ACS	3.0	0.00	0.0	0.0	3.0	2.6	0.0
[3106200024104]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200024104]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200024104]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200024104]	ACS	14.0	1.00	0.0	0.0	14.0	13.3	0.0
[3106200024147]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200024147]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200024147]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024147]	ACS	11.0	1.00	0.0	0.0	11.0	10.4	0.0
[3106200022764]	eSF	3.0	0.00	0.0	0.0	3.0	3.0	0.0
[3106200022764]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106200022764]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022764]	ACS	11.0	0.00	0.0	0.0	11.0	11.0	0.0
[3106200024120]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200024120]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200024120]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200024120]	ACS	15.0	1.00	0.0	0.0	15.0	14.4	0.0
[3106202695766]	eSF	3.0	0.00	0.0	0.0	3.0	2.6	0.0
[3106202695766]	eSB	1.0	0.00	0.0	0.0	1.0	0.6	0.0
[3106202695766]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106202695766]	ACS	5.0	1.00	0.0	0.0	5.0	3.6	0.0
[3106207772106]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106207772106]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106207772106]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106207772106]	ACS	13.0	1.00	0.0	0.0	13.0	12.4	0.0
[3106200024163]	eSF	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200024163]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200024163]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024163]	ACS	5.0	1.00	0.0	0.0	5.0	4.5	0.0
[3106200024090]	eSF	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200024090]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200024090]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024090]	ACS	3.0	0.00	0.0	0.0	3.0	2.6	0.0
[3106203002446]	eSF	5.0	0.00	0.0	0.0	5.0	4.9	0.0
[3106203002446]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106203002446]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106203002446]	ACS	20.0	1.00	0.0	0.0	20.0	19.5	0.0
[3106200022918]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200022918]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022918]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022918]	ACS	17.0	1.00	0.0	0.0	17.0	16.3	0.0
[3106200022950]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200022950]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022950]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022950]	ACS	19.0	1.00	0.0	0.0	19.0	18.3	0.0
[3106200023000]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023000]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023000]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023000]	ACS	10.0	1.00	0.0	0.0	10.0	9.1	0.0
[3106200022993]	eSF	6.0	0.00	0.0	0.0	6.0	5.8	0.0
[3106200022993]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200022993]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022993]	ACS	19.0	1.00	0.0	0.0	19.0	18.0	0.0
[3106200022934]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200022934]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022934]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022934]	ACS	11.0	1.00	0.0	0.0	11.0	10.1	0.0
[3106200022853]	eSF	4.0	0.00	0.0	0.0	4.0	4.0	0.0
[3106200022853]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106200022853]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022853]	ACS	16.0	0.00	0.0	0.0	16.0	15.9	0.0
[3106200022861]	eSF	4.0	0.00	0.0	0.0	4.0	3.7	0.0
[3106200022861]	eSB	2.0	0.00	0.0	0.0	2.0	1.7	0.0
[3106200022861]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022861]	ACS	18.0	1.00	0.0	0.0	18.0	16.9	0.0
[3106200022926]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200022926]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200022926]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022926]	ACS	20.0	1.00	0.0	0.0	20.0	19.4	0.0
[3106200022969]	eSF	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200022969]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200022969]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200022969]	ACS	12.0	0.00	0.0	0.0	12.0	11.5	0.0
[3106200022888]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200022888]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022888]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022888]	ACS	15.0	1.00	0.0	0.0	15.0	14.3	0.0
[3106200022845]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200022845]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200022845]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022845]	ACS	10.0	1.00	0.0	0.0	10.0	9.3	0.0
[3106200022896]	eSF	5.0	0.00	0.0	0.0	5.0	4.9	0.0
[3106200022896]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200022896]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200022896]	ACS	18.0	0.00	0.0	0.0	18.0	17.6	0.0
[3106200023183]	eSF	4.0	0.00	0.0	0.0	4.0	3.7	0.0
[3106200023183]	eSB	2.0	0.00	0.0	0.0	2.0	1.7	0.0
[3106200023183]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023183]	ACS	17.0	1.00	0.0	0.0	17.0	15.9	0.0
[3106200023175]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023175]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023175]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023175]	ACS	13.0	1.00	0.0	0.0	13.0	12.1	0.0
[3106200023191]	eSF	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023191]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106200023191]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023191]	ACS	7.0	1.00	0.0	0.0	7.0	6.1	0.0
[3106200023167]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023167]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023167]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023167]	ACS	13.0	1.00	0.0	0.0	13.0	12.3	0.0
[3106202695731]	eSF	5.0	0.00	0.0	0.0	5.0	5.0	0.0
[3106202695731]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106202695731]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106202695731]	ACS	21.0	0.00	0.0	0.0	21.0	20.9	0.0
[3106200023205]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200023205]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023205]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023205]	ACS	20.0	1.00	0.0	0.0	20.0	19.2	0.0
[3106200023108]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023108]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023108]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023108]	ACS	16.0	1.00	0.0	0.0	16.0	15.4	0.0
[3106200023086]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023086]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023086]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023086]	ACS	11.0	0.00	0.0	0.0	11.0	10.5	0.0
[3106200023868]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023868]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023868]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023868]	ACS	12.0	1.00	0.0	0.0	12.0	11.2	0.0
[3106202695448]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106202695448]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106202695448]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695448]	ACS	11.0	1.00	0.0	0.0	11.0	10.1	0.0
[3106200023906]	eSF	3.0	0.00	0.0	0.0	3.0	2.6	0.0
[3106200023906]	eSB	2.0	0.00	0.0	0.0	2.0	1.6	0.0
[3106200023906]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023906]	ACS	11.0	1.00	0.0	0.0	11.0	9.5	0.0
[3106200023884]	eSF	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023884]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023884]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023884]	ACS	12.0	1.00	0.0	0.0	12.0	11.5	0.0
[3106202695774]	eSF	6.0	0.00	0.0	0.0	6.0	5.7	0.0
[3106202695774]	eSB	3.0	0.00	0.0	0.0	3.0	2.7	0.0
[3106202695774]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695774]	ACS	19.0	1.00	0.0	0.0	19.0	17.8	0.0
[3106200023825]	eSF	3.0	0.00	0.0	0.0	3.0	2.7	0.0
[3106200023825]	eSB	2.0	0.00	0.0	0.0	2.0	1.7	0.0
[3106200023825]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023825]	ACS	12.0	1.00	0.0	0.0	12.0	10.9	0.0
[3106200024015]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200024015]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200024015]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024015]	ACS	11.0	1.00	0.0	0.0	11.0	10.3	0.0
[3106203451658]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106203451658]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106203451658]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106203451658]	ACS	19.0	1.00	0.0	0.0	19.0	18.4	0.0
[3106202695464]	eSF	4.0	0.00	0.0	0.0	4.0	4.0	0.0
[3106202695464]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106202695464]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695464]	ACS	15.0	0.00	0.0	0.0	15.0	14.9	0.0
[3106200023841]	eSF	4.0	0.00	0.0	0.0	4.0	3.9	0.0
[3106200023841]	eSB	2.0	0.00	0.0	0.0	2.0	1.9	0.0
[3106200023841]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023841]	ACS	13.0	0.00	0.0	0.0	13.0	12.5	0.0
[3106200023914]	eSF	5.0	0.00	0.0	0.0	5.0	4.9	0.0
[3106200023914]	eSB	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106200023914]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023914]	ACS	19.0	1.00	0.0	0.0	19.0	18.4	0.0
[3106200023965]	eSF	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200023965]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023965]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023965]	ACS	19.0	1.00	0.0	0.0	19.0	18.2	0.0
[3106200023957]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023957]	eSB	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106200023957]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106200023957]	ACS	13.0	1.00	0.0	0.0	13.0	12.4	0.0
[3106202695758]	eSF	6.0	0.00	0.0	0.0	6.0	5.9	0.0
[3106202695758]	eSB	3.0	0.00	0.0	0.0	3.0	2.9	0.0
[3106202695758]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106202695758]	ACS	20.0	1.00	0.0	0.0	20.0	19.4	0.0
