#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Belo Horizonte 
#############################################################################
data;
# Distance matrix between same-level facilities (for team transfer) 
# {EL[1], L[1]} default 0; # Distance between L1 facilities (min)  
param DL1 := 
3106200022772 3106200022772 0 
3106200022772 3106200023388 2727 
3106200022772 3106200024155 1635 
3106200022772 3106200024139 1517 
3106200022772 3106200024104 2222 
3106200022772 3106200024147 198 
3106200022772 3106200022764 2431 
3106200022772 3106200024120 2431 
3106200022772 3106202695766 2218 
3106200022772 3106207772106 2357 
3106200022772 3106200024163 2302 
3106200022772 3106200024090 2989 
3106200022772 3106203002446 5414 
3106200022772 3106200022918 4864 
3106200022772 3106200022950 6139 
3106200022772 3106200023000 7047 
3106200022772 3106200022993 3689 
3106200022772 3106200022934 7505 
3106200022772 3106200022853 6051 
3106200022772 3106200022861 6950 
3106200022772 3106200022926 4138 
3106200022772 3106200022969 5865 
3106200022772 3106200022888 4657 
3106200022772 3106200022845 6921 
3106200022772 3106200022896 6861 
3106200022772 3106200023183 5654 
3106200022772 3106200023175 7526 
3106200022772 3106200023191 7641 
3106200022772 3106200023167 6698 
3106200022772 3106202695731 5689 
3106200022772 3106200023205 6973 
3106200022772 3106200023108 8795 
3106200022772 3106200023086 7965 
3106200022772 3106200023868 6979 
3106200022772 3106202695448 7419 
3106200022772 3106200023906 8424 
3106200022772 3106200023884 9640 
3106200022772 3106202695774 6549 
3106200022772 3106200023825 6040 
3106200022772 3106200024015 4097 
3106200022772 3106203451658 4467 
3106200022772 3106202695464 6033 
3106200022772 3106200023841 7724 
3106200022772 3106200023914 6596 
3106200022772 3106200023965 9870 
3106200022772 3106200023957 4725 
3106200022772 3106202695758 7994 
3106200022772 3106200024171 5668 
3106200022772 3106200555142 10387 
3106200022772 3106202695499 11203 
3106200022772 3106200023434 5544 
3106200022772 3106200023760 5544 
3106200022772 3106200023442 4656 
3106200022772 3106200023736 4163 
3106200022772 3106203286401 5346 
3106200022772 3106200023396 6777 
3106200022772 3106200023337 3246 
3106200022772 3106203557472 4755 
3106200022772 3106200023329 6745 
3106200022772 3106200023418 5569 
3106200022772 3106200023353 4054 
3106200022772 3106200023469 7110 
3106200022772 3106200023361 7454 
3106200022772 3106200023930 7454 
3106200022772 3106209077324 8833 
3106200022772 3106202695472 8501 
3106200022772 3106202695480 5046 
3106200022772 3106200023345 4409 
3106200022772 3106200023450 3152 
3106200022772 3106200023426 6660 
3106200022772 3106200023558 10621 
3106200022772 3106200023531 8741 
3106200022772 3106200023507 7888 
3106200022772 3106200024023 10325 
3106200022772 3106207995369 8690 
3106200022772 3106200024007 8690 
3106200022772 3106200023892 7412 
3106200022772 3106202708310 8379 
3106200022772 3106205618312 10221 
3106200022772 3106200023477 9865 
3106200022772 3106200023485 11220 
3106200022772 3106200023493 10162 
3106200022772 3106200022632 9943 
3106200022772 3106200022624 10138 
3106200022772 3106200022705 11930 
3106200022772 3106200022713 13060 
3106200022772 3106200022659 8394 
3106200022772 3106200022640 8394 
3106200022772 3106200022586 7947 
3106200022772 3106200022594 12981 
3106200022772 3106203232271 13048 
3106200022772 3106200022608 12571 
3106200022772 3106200022748 11277 
3106200022772 3106200022551 13195 
3106200022772 3106200022756 8289 
3106200022772 3106203015998 7461 
3106200022772 3106203008525 12633 
3106200022772 3106200022543 12209 
3106200022772 3106200022675 6948 
3106200022772 3106200022578 8996 
3106200022772 3106200022616 10504 
3106200022772 3106200023124 12540 
3106200022772 3106200023043 12248 
3106200022772 3106200023078 9819 
3106200022772 3106200023280 11009 
3106200022772 3106200023035 13528 
3106200022772 3106200023132 13783 
3106200022772 3106202708302 14491 
3106200022772 3106205432243 10750 
3106200022772 3106200023116 10197 
3106200022772 3106200023140 8590 
3106200022772 3106200023094 8860 
3106200022772 3106202820609 11099 
3106200022772 3106204908732 11453 
3106200022772 3106200023159 11313 
3106200022772 3106200023787 12873 
3106200022772 3106200023248 12757 
3106200022772 3106205219175 13327 
3106200022772 3106200023795 12246 
3106200022772 3106200023256 11374 
3106200022772 3106200023264 11462 
3106200022772 3106202695456 12557 
3106200022772 3106205866383 11768 
3106200022772 3106200023728 9196 
3106200022772 3106200023213 10688 
3106200022772 3106200023817 12724 
3106200022772 3106209166718 15527 
3106200022772 3106200023701 15245 
3106200022772 3106200023779 14767 
3106200022772 3106202695421 11489 
3106200022772 3106200023221 11026 
3106200022772 3106200023515 12474 
3106200022772 3106200023744 15290 
3106200022772 3106200023655 16638 
3106200022772 3106209166793 14158 
3106200022772 3106200023671 13476 
3106200022772 3106203411451 13397 
3106200022772 3106200023604 14900 
3106200022772 3106200023639 17588 
3106200022772 3106200023663 16411 
3106200022772 3106200023574 16596 
3106200022772 3106200023647 15457 
3106200022772 3106206368379 14322 
3106200022772 3106200023620 16772 
3106200022772 3106200023698 16247 
