#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Lagoa Santa 
#############################################################################
data;
# Distance matrix between same-level facilities (for team transfer) 
# {EL[1], L[1]} default 0; # Distance between L1 facilities (min)  
param DL1 := 
3137605402034 3137605402034 0 
3137605402034 3137602116553 1301 
3137605402034 3137605324920 2462 
3137605402034 3137605324912 3665 
3137605402034 3137602116588 4084 
3137605402034 3137605402417 4599 
3137605402034 3137602117363 7127 
3137605402034 3137605324904 3665 
3137605402034 3137602116537 7127 
3137605402034 3137602116545 1126 
3137605402034 3137605402425 3822 
3137605402034 3137602116561 2015 
3137605402034 3137604334663 4445 
3137605402034 3137609342923 2845 
3137605402034 CLU_5616 2845 
3137605402034 CLU_5620 3822 
3137605402034 CLU_5623 1126 
3137605402034 CLU_5624 5957 
3137605402034 CLU_5626 1301 
3137605402034 CLU_5627 1075 
3137605402034 CLU_5629 1658 
3137605402034 CLU_5637 2523 
3137605402034 CLU_5644 6596 
3137605402034 CLU_5645 6381 
3137605402034 CLU_5649 4445 
3137605402034 CLU_5650 4677 
3137605402034 CLU_5652 5564 
3137605402034 CLU_5653 8273 
3137602116553 3137605402034 1301 
3137602116553 3137602116553 0 
3137602116553 3137605324920 3500 
3137602116553 3137605324912 2707 
3137602116553 3137602116588 3166 
3137602116553 3137605402417 3505 
3137602116553 3137602117363 5919 
3137602116553 3137605324904 2707 
3137602116553 3137602116537 5919 
3137602116553 3137602116545 2158 
3137602116553 3137605402425 3501 
3137602116553 3137602116561 763 
3137602116553 3137604334663 3211 
3137602116553 3137609342923 1569 
3137602116553 CLU_5616 1569 
3137602116553 CLU_5620 3501 
3137602116553 CLU_5623 2158 
3137602116553 CLU_5624 5909 
3137602116553 CLU_5626 0 
3137602116553 CLU_5627 666 
3137602116553 CLU_5629 1605 
3137602116553 CLU_5637 3404 
3137602116553 CLU_5644 5317 
3137602116553 CLU_5645 5107 
3137602116553 CLU_5649 3211 
3137602116553 CLU_5650 5410 
3137602116553 CLU_5652 5067 
3137602116553 CLU_5653 6986 
3137605324920 3137605402034 2462 
3137605324920 3137602116553 3500 
3137605324920 3137605324920 0 
3137605324920 3137605324912 4735 
3137605324920 3137602116588 4995 
3137605324920 3137605402417 5796 
3137605324920 3137602117363 8456 
3137605324920 3137605324904 4735 
3137605324920 3137602116537 8456 
3137605324920 3137602116545 1362 
3137605324920 3137605402425 3711 
3137605324920 3137602116561 4263 
3137605324920 3137604334663 6034 
3137605324920 3137609342923 4735 
3137605324920 CLU_5616 4735 
3137605324920 CLU_5620 3711 
3137605324920 CLU_5623 1362 
3137605324920 CLU_5624 4886 
3137605324920 CLU_5626 3500 
3137605324920 CLU_5627 3513 
3137605324920 CLU_5629 2457 
3137605324920 CLU_5637 3901 
3137605324920 CLU_5644 8256 
3137605324920 CLU_5645 8024 
3137605324920 CLU_5649 6034 
3137605324920 CLU_5650 2423 
3137605324920 CLU_5652 5399 
3137605324920 CLU_5653 10337 
3137605324912 3137605402034 3665 
3137605324912 3137602116553 2707 
3137605324912 3137605324920 4735 
3137605324912 3137605324912 0 
3137605324912 3137602116588 466 
3137605324912 3137605402417 1062 
3137605324912 3137602117363 3721 
3137605324912 3137605324904 0 
3137605324912 3137602116537 3721 
3137605324912 3137602116545 3836 
3137605324912 3137605402425 1995 
3137605324912 3137602116561 2650 
3137605324912 3137604334663 1580 
3137605324912 3137609342923 1705 
3137605324912 CLU_5616 1705 
3137605324912 CLU_5620 1995 
3137605324912 CLU_5623 3836 
3137605324912 CLU_5624 4336 
3137605324912 CLU_5626 2707 
3137605324912 CLU_5627 3372 
3137605324912 CLU_5629 2359 
3137605324912 CLU_5637 6075 
3137605324912 CLU_5644 3651 
3137605324912 CLU_5645 3416 
3137605324912 CLU_5649 1580 
3137605324912 CLU_5650 5563 
