#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Lagoa Santa 
#############################################################################
data;
param BUDGET := 164300000; # Overall budget constraint ($/year)
param I_L1 := 3818078;
param: K: Dmax :=
1         5000 # PHC: Primary health care (basic care)
2         30000 # SHC: Secondary health care (intermediate care)
3         35000 # THC: Tertiary health care (hospital care)
;
set L[2] := SHC1;
set L[3] := THC1;
# Basic health care units teams (PHC)
set E[1] :=
eSF
eSB
eMulti
;

# Intermediate health care units teams (SHC)
set E[2] :=
EQ2
;

set E[3] :=
EQ3
;

set EL[1] := 
313760105000013
313760105000076
313760105000102
313760105000125
313760105000132
313760105000135
313760105000139
313760105000168
313760105000186
313760105000201
313760105000235
313760105000239
313760105000259
313760105000264
;

set EL[2] := SHC1;
set EL[3] := THC1;
# of type p at demand point i and 
# vulnerability V (the higher vulnerability, the worse)
# id_setor	populacao	IVS
param: I:       W   IVS:=	
313760105000002 253 0.4225458752956011 
313760105000003 332 0.4373841946857433 
313760105000005 502 0.46096892975586123 
313760105000007 312 0.4571510167363717 
313760105000008 505 0.4225636307421007 
313760105000009 426 0.42659344552537154 
313760105000010 294 0.4006312077430466 
313760105000011 305 0.41336168602019885 
313760105000012 543 0.40939244670324937 
313760105000013 620 0.4053143154889466 
313760105000015 607 0.4198983485535494 
313760105000016 139 0.4336262167137329 
313760105000020 380 0.4256229339863687 
313760105000021 280 0.4407899440785491 
313760105000022 245 0.4141923204963745 
313760105000024 94 0.42237798946723565 
313760105000026 347 0.4308340598909746 
313760105000027 582 0.41817441653542353 
313760105000028 317 0.44183296190172283 
313760105000029 191 0.4303425626447345 
313760105000030 231 0.44142452671948607 
313760105000036 251 0.4340650453636256 
313760105000037 418 0.40784634391694324 
313760105000039 701 0.301146143169776 
313760105000040 390 0.2981078206380237 
313760105000043 448 0.4224365128634198 
313760105000045 401 0.43872125965462805 
313760105000048 36 0.4761089452329722 
313760105000050 X 0.6579955391006775 
313760105000058 177 0.4339468770888052 
313760105000064 390 0.4430488180668309 
313760105000066 358 0.44026538904681367 
313760105000067 193 0.4336110078827519 
313760105000068 195 0.44303526475718985 
313760105000069 114 0.43059102963884294 
313760105000071 294 0.4414105597529702 
313760105000072 311 0.42423612544543776 
313760105000074 428 0.42389588316490756 
313760105000075 174 0.412204092900339 
313760105000076 179 0.4071371811736708 
313760105000077 314 0.41180094578133597 
313760105000078 238 0.39509760203162547 
313760105000080 263 0.3933052533449112 
313760105000081 184 0.41888637081164093 
313760105000082 176 0.4127118939387611 
313760105000083 373 0.4159198351932203 
313760105000084 151 0.42340970452442855 
313760105000085 182 0.43618745639160283 
313760105000086 390 0.41571194386599924 
313760105000087 179 0.4264914189301979 
313760105000088 331 0.41957393006849886 
313760105000089 219 0.4020081218817768 
313760105000090 533 0.40248630697187754 
313760105000091 339 0.4050140665238533 
313760105000092 58 0.47557164332343693 
313760105000094 505 0.4063656985005264 
