RC[CLU_1001]		737	Dist (km)
>	L[3118602190532]	555	1.26
>	L[3118602190532] tel	28
>	L[SHC1]	111	20.00
>	L[SHC1] tel	6
>	L[THC1]	37	25.00
>	L[THC1] tel	2
RC[CLU_1126]		108	Dist (km)
>	L[CLU_2943]	81	4.53
>	L[CLU_2943] tel	4
>	L[SHC1]	16	20.00
>	L[SHC1] tel	1
>	L[THC1]	5	25.00
>	L[THC1] tel	0
RC[CLU_1175]		654	Dist (km)
>	L[3118602190222]	418	2.73
>	L[CLU_2971]	74	0.43
>	L[3118602190222] tel	21
>	L[CLU_2971] tel	4
>	L[SHC1]	98	20.00
>	L[SHC1] tel	5
>	L[THC1]	33	25.00
>	L[THC1] tel	2
RC[CLU_1177]		600	Dist (km)
>	L[3118602190915]	451	2.37
>	L[3118602190915] tel	23
>	L[SHC1]	90	20.00
>	L[SHC1] tel	5
>	L[THC1]	30	25.00
>	L[THC1] tel	2
RC[CLU_1178]		999	Dist (km)
>	L[3118602190893]	752	0.80
>	L[3118602190893] tel	38
>	L[SHC1]	150	20.00
>	L[SHC1] tel	7
>	L[THC1]	50	25.00
>	L[THC1] tel	2
RC[CLU_1205]		1004	Dist (km)
>	L[3118607116306]	755	0.82
>	L[3118607116306] tel	38
>	L[SHC1]	151	20.00
>	L[SHC1] tel	8
>	L[THC1]	50	25.00
>	L[THC1] tel	3
RC[CLU_1233]		497	Dist (km)
>	L[3118607116306]	374	0.78
>	L[3118607116306] tel	19
>	L[SHC1]	75	20.00
>	L[SHC1] tel	4
>	L[THC1]	25	25.00
>	L[THC1] tel	1
RC[CLU_1273]		690	Dist (km)
>	L[3118602190680]	519	1.75
>	L[3118602190680] tel	26
>	L[SHC1]	104	20.00
>	L[SHC1] tel	5
>	L[THC1]	35	25.00
>	L[THC1] tel	2
RC[CLU_1296]		600	Dist (km)
>	L[CLU_3214]	451	4.11
>	L[CLU_3214] tel	23
>	L[SHC1]	90	20.00
>	L[SHC1] tel	5
>	L[THC1]	30	25.00
>	L[THC1] tel	2
RC[CLU_1307]		2037	Dist (km)
>	L[3118602190680]	1533	1.55
>	L[3118602190680] tel	77
>	L[SHC1]	306	20.00
>	L[SHC1] tel	15
>	L[THC1]	102	25.00
>	L[THC1] tel	5
RC[CLU_1344]		1322	Dist (km)
>	L[3118602190680]	995	1.36
>	L[3118602190680] tel	50
>	L[SHC1]	198	20.00
>	L[SHC1] tel	10
>	L[THC1]	66	25.00
>	L[THC1] tel	3
RC[CLU_1359]		768	Dist (km)
>	L[3118602190680]	578	0.29
>	L[3118602190680] tel	29
>	L[SHC1]	115	20.00
>	L[SHC1] tel	6
>	L[THC1]	38	25.00
>	L[THC1] tel	2
RC[CLU_1818]		464	Dist (km)
>	L[3118602190966]	349	1.67
>	L[3118602190966] tel	17
>	L[SHC1]	70	20.00
