PHC[3118602190990]		9000	Dist (km)
>	L[CLU_2950]	1615	0.00
>	L[CLU_3117]	325	4.23
>	L[CLU_3194]	498	3.31
>	L[CLU_3201]	1403	2.21
>	L[CLU_3202]	2165	1.82
>	L[CLU_3208]	743	1.19
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602191229]		6000	Dist (km)
>	L[CLU_2948]	74	1.74
>	L[CLU_3117]	795	4.14
>	L[CLU_3198]	1081	2.39
>	L[CLU_3209]	355	1.62
>	L[CLU_3211]	2195	0.91
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190591]		15000	Dist (km)
>	L[CLU_3121]	1323	3.96
>	L[CLU_3122]	1665	3.72
>	L[CLU_3197]	380	3.38
>	L[CLU_3209]	823	2.47
>	L[CLU_3210]	2314	1.96
>	L[CLU_3213]	965	1.41
>	L[CLU_3214]	289	1.96
>	L[CLU_3216]	1203	2.61
>	L[CLU_3217]	2278	2.60
>	L[CLU_7953]	9	4.50
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190567]		6000	Dist (km)
>	L[CLU_2946]	983	1.06
>	L[CLU_2947]	1727	1.28
>	L[CLU_2955]	1790	0.00
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190532]		9000	Dist (km)
>	L[CLU_1001]	582	1.26
>	L[CLU_2953]	2366	0.43
>	L[CLU_2956]	237	1.21
>	L[CLU_2957]	539	1.51
>	L[CLU_2969]	1164	0.00
>	L[CLU_3212]	1862	3.73
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190494]		15000	Dist (km)
>	L[CLU_2951]	92	4.21
>	L[CLU_2954]	1010	1.42
>	L[CLU_2965]	910	0.24
>	L[CLU_2966]	1936	0.94
>	L[CLU_2967]	905	0.94
>	L[CLU_2968]	1596	0.75
>	L[CLU_2972]	2037	0.48
>	L[CLU_2973]	1582	0.00
>	L[CLU_2974]	208	0.52
>	L[CLU_956]	975	0.70
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190869]		9000	Dist (km)
>	L[CLU_2942]	546	3.60
>	L[CLU_2944]	632	2.78
>	L[CLU_2958]	1785	1.44
>	L[CLU_2959]	131	0.95
>	L[CLU_2963]	616	1.05
>	L[CLU_2964]	2157	0.00
>	L[CLU_3212]	883	3.59
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190605]		6000	Dist (km)
>	L[CLU_2940]	783	3.07
>	L[CLU_2941]	876	3.10
>	L[CLU_2942]	397	4.35
