SHC[SHC1]		214525	Dist (km)
>	L[CLU_1001]	155	20.00
>	L[CLU_1126]	108	20.00
>	L[CLU_1177]	126	20.00
>	L[CLU_1178]	210	20.00
>	L[CLU_1205]	264	20.00
>	L[CLU_1296]	494	20.00
>	L[CLU_1307]	1300	20.00
>	L[CLU_1359]	161	20.00
>	L[CLU_1818]	97	20.00
>	L[CLU_1826]	462	20.00
>	L[CLU_1868]	7	20.00
>	L[CLU_2922]	288	20.00
>	L[CLU_2923]	540	20.00
>	L[CLU_2927]	2062	20.00
>	L[CLU_2928]	297	20.00
>	L[CLU_2931]	531	20.00
>	L[CLU_2932]	765	20.00
>	L[CLU_2934]	2498	20.00
>	L[CLU_2936]	739	20.00
>	L[CLU_2937]	595	20.00
>	L[CLU_2938]	634	20.00
>	L[CLU_2939]	78	20.00
>	L[CLU_2941]	616	20.00
>	L[CLU_2942]	1714	20.00
>	L[CLU_2943]	623	20.00
>	L[CLU_2944]	923	20.00
>	L[CLU_2945]	1926	20.00
>	L[CLU_2946]	261	20.00
>	L[CLU_2948]	2168	20.00
>	L[CLU_2949]	2793	20.00
>	L[CLU_2950]	1474	20.00
>	L[CLU_2951]	54	20.00
>	L[CLU_2952]	393	20.00
>	L[CLU_2953]	629	20.00
>	L[CLU_2954]	268	20.00
>	L[CLU_2955]	476	20.00
>	L[CLU_2956]	517	20.00
>	L[CLU_2957]	1687	20.00
>	L[CLU_2958]	628	20.00
>	L[CLU_2960]	677	20.00
>	L[CLU_2962]	593	20.00
>	L[CLU_2963]	164	20.00
>	L[CLU_2964]	573	20.00
>	L[CLU_2965]	242	20.00
>	L[CLU_2967]	241	20.00
>	L[CLU_2968]	575	20.00
>	L[CLU_2970]	570	20.00
>	L[CLU_2971]	409	20.00
>	L[CLU_2972]	541	20.00
>	L[CLU_2974]	55	20.00
>	L[CLU_2975]	120	20.00
>	L[CLU_2976]	456	20.00
>	L[CLU_2977]	596	20.00
>	L[CLU_2978]	501	20.00
>	L[CLU_2979]	592	20.00
>	L[CLU_2980]	3214	20.00
>	L[CLU_2981]	513	20.00
>	L[CLU_2985]	233	20.00
>	L[CLU_2986]	124	20.00
>	L[CLU_2987]	535	20.00
>	L[CLU_2991]	619	20.00
>	L[CLU_2993]	515	20.00
>	L[CLU_2996]	610	20.00
>	L[CLU_2997]	1793	20.00
>	L[CLU_2999]	470	20.00
>	L[CLU_3000]	2254	20.00
>	L[CLU_3001]	354	20.00
>	L[CLU_3003]	403	20.00
>	L[CLU_3004]	517	20.00
>	L[CLU_3005]	539	20.00
>	L[CLU_3006]	1890	20.00
>	L[CLU_3007]	401	20.00
>	L[CLU_3008]	1034	20.00
>	L[CLU_3009]	529	20.00
>	L[CLU_3010]	2551	20.00
>	L[CLU_3011]	350	20.00
>	L[CLU_3015]	61	20.00
>	L[CLU_3016]	605	20.00
>	L[CLU_3017]	222	20.00
>	L[CLU_3019]	546	20.00
>	L[CLU_3020]	400	20.00
>	L[CLU_3021]	604	20.00
>	L[CLU_3022]	865	20.00
>	L[CLU_3023]	1854	20.00
>	L[CLU_3025]	835	20.00
>	L[CLU_3026]	444	20.00
>	L[CLU_3027]	281	20.00
>	L[CLU_3028]	1598	20.00
>	L[CLU_3029]	588	20.00
>	L[CLU_3030]	1493	20.00
>	L[CLU_3032]	349	20.00
>	L[CLU_3036]	799	20.00
>	L[CLU_3038]	371	20.00
>	L[CLU_3039]	515	20.00
>	L[CLU_3040]	197	20.00
>	L[CLU_3042]	583	20.00
>	L[CLU_3043]	427	20.00
>	L[CLU_3044]	1458	20.00
>	L[CLU_3045]	569	20.00
>	L[CLU_3046]	557	20.00
>	L[CLU_3047]	459	20.00
>	L[CLU_3048]	465	20.00
>	L[CLU_3049]	602	20.00
>	L[CLU_3050]	475	20.00
>	L[CLU_3051]	589	20.00
>	L[CLU_3052]	172	20.00
>	L[CLU_3054]	214	20.00
>	L[CLU_3056]	139	20.00
>	L[CLU_3057]	1382	20.00
>	L[CLU_3058]	2248	20.00
>	L[CLU_3060]	600	20.00
>	L[CLU_3061]	628	20.00
>	L[CLU_3063]	398	20.00
