THC[THC1]		81215	Dist (km)
>	L[CLU_1175]	577	25.00
>	L[CLU_1233]	497	25.00
>	L[CLU_1273]	690	25.00
>	L[CLU_1344]	1322	25.00
>	L[CLU_1821]	246	25.00
>	L[CLU_1894]	297	25.00
>	L[CLU_2925]	602	25.00
>	L[CLU_2926]	428	25.00
>	L[CLU_2929]	2384	25.00
>	L[CLU_2930]	63	25.00
>	L[CLU_2933]	577	25.00
>	L[CLU_2935]	927	25.00
>	L[CLU_2940]	208	25.00
>	L[CLU_2947]	720	25.00
>	L[CLU_2959]	153	25.00
>	L[CLU_2961]	2836	25.00
>	L[CLU_2966]	515	25.00
>	L[CLU_2969]	854	25.00
>	L[CLU_2973]	420	25.00
>	L[CLU_2982]	550	25.00
>	L[CLU_2983]	458	25.00
>	L[CLU_2984]	631	25.00
>	L[CLU_2988]	1334	25.00
>	L[CLU_2989]	398	25.00
>	L[CLU_2990]	510	25.00
>	L[CLU_2992]	164	25.00
>	L[CLU_2994]	2414	25.00
>	L[CLU_2995]	195	25.00
>	L[CLU_2998]	432	25.00
>	L[CLU_3002]	310	25.00
>	L[CLU_3012]	1999	25.00
>	L[CLU_3013]	1418	25.00
>	L[CLU_3014]	597	25.00
>	L[CLU_3018]	1090	25.00
>	L[CLU_3024]	339	25.00
>	L[CLU_3031]	314	25.00
>	L[CLU_3033]	46	25.00
>	L[CLU_3034]	1129	25.00
>	L[CLU_3035]	551	25.00
>	L[CLU_3037]	589	25.00
>	L[CLU_3041]	477	25.00
>	L[CLU_3053]	133	25.00
>	L[CLU_3055]	616	25.00
>	L[CLU_3059]	125	25.00
>	L[CLU_3062]	579	25.00
>	L[CLU_3064]	600	25.00
>	L[CLU_3065]	273	25.00
>	L[CLU_3066]	610	25.00
>	L[CLU_3067]	629	25.00
>	L[CLU_3073]	179	25.00
>	L[CLU_3076]	408	25.00
>	L[CLU_3077]	527	25.00
>	L[CLU_3083]	599	25.00
>	L[CLU_3089]	453	25.00
>	L[CLU_3091]	119	25.00
>	L[CLU_3092]	165	25.00
>	L[CLU_3094]	271	25.00
>	L[CLU_3095]	514	25.00
>	L[CLU_3099]	455	25.00
>	L[CLU_3100]	329	25.00
>	L[CLU_3101]	1121	25.00
>	L[CLU_3103]	560	25.00
>	L[CLU_3104]	950	25.00
>	L[CLU_3105]	295	25.00
>	L[CLU_3117]	384	25.00
>	L[CLU_3118]	840	25.00
>	L[CLU_3119]	317	25.00
>	L[CLU_3123]	234	25.00
>	L[CLU_3128]	922	25.00
>	L[CLU_3129]	108	25.00
>	L[CLU_3131]	136	25.00
>	L[CLU_3134]	2448	25.00
>	L[CLU_3135]	598	25.00
>	L[CLU_3136]	337	25.00
>	L[CLU_3137]	651	25.00
>	L[CLU_3142]	612	25.00
>	L[CLU_3144]	127	25.00
>	L[CLU_3146]	269	25.00
>	L[CLU_3147]	1122	25.00
>	L[CLU_3152]	151	25.00
>	L[CLU_3153]	430	25.00
>	L[CLU_3154]	591	25.00
>	L[CLU_3155]	1099	25.00
>	L[CLU_3157]	235	25.00
>	L[CLU_3159]	610	25.00
>	L[CLU_3166]	1002	25.00
>	L[CLU_3167]	715	25.00
>	L[CLU_3174]	618	25.00
>	L[CLU_3175]	374	25.00
>	L[CLU_3177]	60	25.00
>	L[CLU_3178]	332	25.00
>	L[CLU_3180]	582	25.00
>	L[CLU_3184]	1150	25.00
>	L[CLU_3186]	293	25.00
>	L[CLU_3191]	528	25.00
>	L[CLU_3198]	1816	25.00
>	L[CLU_3201]	373	25.00
>	L[CLU_3202]	576	25.00
>	L[CLU_3205]	1900	25.00
>	L[CLU_3210]	615	25.00
>	L[CLU_3732]	95	25.00
>	L[CLU_7797]	169	25.00
>	L[CLU_7927]	241	25.00
>	L[CLU_7928]	92	25.00
>	L[CLU_7930]	94	25.00
>	L[CLU_7931]	2	25.00
>	L[CLU_7935]	194	25.00
>	L[CLU_7940]	0	25.00
>	L[CLU_7942]	26	25.00
>	L[CLU_7944]	78	25.00
>	L[CLU_7953]	3	25.00
>	L[CLU_7954]	7	25.00
>	L[CLU_7955]	46	25.00
>	L[3118602190532]	1922	25.00
>	L[3118602190966]	1500	25.00
>	L[3118602190826]	1128	25.00
>	L[3118602190710]	1322	25.00
>	L[CLU_2970]	750	25.00
>	L[CLU_3084]	750	25.00
>	L[CLU_3087]	750	25.00
>	L[SHC1]	8122	20.00
