From	To	Team	Qty	Dist (km)
[3118602190990]	[3118602190931]	eSF	1.00	6.27
[3118602191229]	[3118602190591]	eSF	1.00	0.88
[3118602190532]	[3118602190869]	eSF	1.00	1.59
[3118602190923]	[3118602190478]	eSF	1.00	9.70
[3118602190923]	[3118602190389]	eSF	1.00	9.93
[3118602190923]	[3118602220261]	eSF	1.00	8.26
[3118602190893]	[3118602190915]	eSF	1.00	0.74
[3118602190893]	[3118602190222]	eSF	1.00	1.09
[3118602190486]	[3118602190389]	eSF	1.00	8.99
[3118604696077]	[3118602191024]	eSF	1.00	1.40
[3118607110316]	[3118602190400]	eSF	1.00	2.19
[3118602190826]	[3118602190753]	eSF	1.00	12.46
[3118602190729]	[3118602220245]	eSF	1.00	17.13
[3118602190656]	[3118602220245]	eSF	1.00	17.13
[3118602190818]	[3118602190885]	eSF	1.00	5.75
[3118602190818]	[3118602190788]	eSF	1.00	12.22
[3118602190605]	[CLU_2961]*	ACS	1.00	1.84
[3118602190605]	[CLU_2970]*	ACS	1.00	2.18
[3118602190710]	[3118602190648]	ACS	1.00	1.18
[3118602190710]	[3118602190818]	ACS	1.00	4.12
[3118602190710]	[3118602190885]	ACS	1.00	8.20
[3118602190710]	[CLU_3060]*	ACS	1.00	10.08
[3118602190710]	[CLU_3086]*	ACS	1.00	2.88
[3118602190710]	[CLU_3087]*	ACS	1.00	2.30
[3118602190710]	[CLU_3098]*	ACS	1.00	1.30
[3118602190710]	[CLU_3108]*	ACS	1.00	5.52
[3118602190710]	[CLU_7923]*	ACS	1.00	8.07
