Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3118602190990]	eSF	3.0	2.98	-1.0	0.0	2.0	0.0	1.0
[3118602190990]	eSB	2.0	2.98	0.0	0.0	2.0	0.0	1.0
[3118602190990]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602190990]	ACS	11.0	12.00	0.0	1.0	12.0	0.0	0.0
[3118602191229]	eSF	2.0	1.99	-1.0	0.0	1.0	0.0	1.0
[3118602191229]	eSB	1.0	1.99	0.0	0.0	1.0	0.0	1.0
[3118602191229]	eMulti	0.0	0.24	0.0	0.0	0.0	0.0	0.2
[3118602191229]	ACS	7.0	8.00	0.0	1.0	8.0	0.0	0.0
[3118602190591]	eSF	3.0	4.95	1.0	0.0	4.0	0.0	0.9
[3118602190591]	eSB	1.0	4.95	0.0	3.0	4.0	0.0	0.9
[3118602190591]	eMulti	1.0	0.60	0.0	0.0	1.0	0.4	0.0
[3118602190591]	ACS	13.0	19.95	0.0	6.0	19.0	0.0	0.9
[3118602190567]	eSF	1.0	1.99	0.0	0.0	1.0	0.0	1.0
[3118602190567]	eSB	0.0	1.99	0.0	1.0	1.0	0.0	1.0
[3118602190567]	eMulti	0.0	0.24	0.0	0.0	0.0	0.0	0.2
[3118602190567]	ACS	3.0	8.00	0.0	5.0	8.0	0.0	0.0
[3118602190532]	eSF	3.0	3.00	-1.0	0.0	2.0	0.0	1.0
[3118602190532]	eSB	2.0	3.00	0.0	0.0	2.0	0.0	1.0
[3118602190532]	eMulti	0.0	0.34	0.0	0.0	0.0	0.0	0.3
[3118602190532]	ACS	11.0	12.00	0.0	1.0	12.0	0.0	0.0
[3118602190494]	eSF	2.0	4.95	0.0	2.0	4.0	0.0	0.9
[3118602190494]	eSB	0.0	4.95	0.0	4.0	4.0	0.0	0.9
[3118602190494]	eMulti	0.0	0.59	0.0	0.0	0.0	0.0	0.6
[3118602190494]	ACS	5.0	19.89	0.0	14.0	19.0	0.0	0.9
[3118602190869]	eSF	1.0	3.00	1.0	0.0	2.0	0.0	1.0
[3118602190869]	eSB	0.0	3.00	0.0	2.0	2.0	0.0	1.0
[3118602190869]	eMulti	0.0	0.33	0.0	0.0	0.0	0.0	0.3
[3118602190869]	ACS	0.0	11.98	0.0	11.0	11.0	0.0	1.0
[3118602190605]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190605]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190605]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[3118602190605]	ACS	10.0	8.00	-2.0	0.0	8.0	0.0	0.0
[3118602190109]	eSF	1.0	3.00	0.0	1.0	2.0	0.0	1.0
[3118602190109]	eSB	0.0	3.00	0.0	3.0	3.0	0.0	0.0
[3118602190109]	eMulti	0.0	0.35	0.0	0.0	0.0	0.0	0.3
[3118602190109]	ACS	0.0	12.00	0.0	12.0	12.0	0.0	0.0
[3118607116306]	eSF	2.0	3.00	0.0	0.0	2.0	0.0	1.0
[3118607116306]	eSB	0.0	3.00	0.0	2.0	2.0	0.0	1.0
[3118607116306]	eMulti	0.0	0.31	0.0	0.0	0.0	0.0	0.3
[3118607116306]	ACS	8.0	11.79	0.0	4.0	12.0	0.2	0.0
[3118602190931]	eSF	2.0	4.00	1.0	0.0	3.0	0.0	1.0
[3118602190931]	eSB	1.0	4.00	0.0	2.0	3.0	0.0	1.0
[3118602190931]	eMulti	1.0	0.41	0.0	0.0	1.0	0.6	0.0
[3118602190931]	ACS	10.0	15.72	0.0	5.0	15.0	0.0	0.7
[3118602190923]	eSF	6.0	4.00	-3.0	0.0	3.0	0.0	1.0
[3118602190923]	eSB	2.0	4.00	0.0	2.0	4.0	0.0	0.0
[3118602190923]	eMulti	1.0	0.43	0.0	0.0	1.0	0.6	0.0
[3118602190923]	ACS	19.0	15.79	0.0	1.0	20.0	4.2	0.0
[3118602190893]	eSF	5.0	4.00	-2.0	0.0	3.0	0.0	1.0
[3118602190893]	eSB	2.0	4.00	0.0	2.0	4.0	0.0	0.0
[3118602190893]	eMulti	0.0	0.41	0.0	0.0	0.0	0.0	0.4
[3118602190893]	ACS	11.0	15.72	0.0	6.0	17.0	1.3	0.0
[3118602190486]	eSF	4.0	4.00	-1.0	0.0	3.0	0.0	1.0
[3118602190486]	eSB	2.0	4.00	0.0	1.0	3.0	0.0	1.0
[3118602190486]	eMulti	1.0	0.41	0.0	0.0	1.0	0.6	0.0
[3118602190486]	ACS	14.0	15.72	0.0	1.0	15.0	0.0	0.7
[3118602190915]	eSF	2.0	4.00	1.0	0.0	3.0	0.0	1.0
[3118602190915]	eSB	0.0	4.00	0.0	3.0	3.0	0.0	1.0
[3118602190915]	eMulti	0.0	0.44	0.0	0.0	0.0	0.0	0.4
[3118602190915]	ACS	6.0	15.96	0.0	9.0	15.0	0.0	1.0
[3118602190222]	eSF	3.0	4.75	1.0	0.0	4.0	0.0	0.8
[3118602190222]	eSB	1.0	4.75	0.0	3.0	4.0	0.0	0.8
[3118602190222]	eMulti	1.0	0.55	0.0	0.0	1.0	0.5	0.0
[3118602190222]	ACS	8.0	19.00	0.0	10.0	18.0	0.0	1.0
[3118604696077]	eSF	3.0	2.78	-1.0	0.0	2.0	0.0	0.8
[3118604696077]	eSB	2.0	2.78	0.0	0.0	2.0	0.0	0.8
[3118604696077]	eMulti	0.0	0.29	0.0	0.0	0.0	0.0	0.3
[3118604696077]	ACS	8.0	11.00	0.0	3.0	11.0	0.0	0.0
[3118602191024]	eSF	1.0	2.98	1.0	0.0	2.0	0.0	1.0
[3118602191024]	eSB	0.0	2.98	0.0	2.0	2.0	0.0	1.0
[3118602191024]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602191024]	ACS	3.0	12.00	0.0	9.0	12.0	0.0	0.0
[3118602190478]	eSF	1.0	2.77	1.0	0.0	2.0	0.0	0.8
[3118602190478]	eSB	0.0	2.77	0.0	2.0	2.0	0.0	0.8
[3118602190478]	eMulti	0.0	0.31	0.0	0.0	0.0	0.0	0.3
[3118602190478]	ACS	3.0	11.00	0.0	8.0	11.0	0.0	0.0
[3118602190389]	eSF	2.0	4.54	2.0	0.0	4.0	0.0	0.5
[3118602190389]	eSB	0.0	4.54	0.0	4.0	4.0	0.0	0.5
[3118602190389]	eMulti	0.0	0.49	0.0	0.0	0.0	0.0	0.5
[3118602190389]	ACS	6.0	18.00	0.0	12.0	18.0	0.0	0.0
[3118607110316]	eSF	5.0	4.95	-1.0	0.0	4.0	0.0	1.0
[3118607110316]	eSB	2.0	4.95	0.0	2.0	4.0	0.0	1.0
[3118607110316]	eMulti	1.0	0.60	0.0	0.0	1.0	0.4	0.0
[3118607110316]	ACS	14.0	19.96	0.0	5.0	19.0	0.0	1.0
[3118602220261]	eSF	1.0	2.98	1.0	0.0	2.0	0.0	1.0
[3118602220261]	eSB	0.0	2.98	0.0	2.0	2.0	0.0	1.0
[3118602220261]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602220261]	ACS	3.0	12.00	0.0	9.0	12.0	0.0	0.0
[3118602190397]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190397]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190397]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[3118602190397]	ACS	5.0	8.00	0.0	3.0	8.0	0.0	0.0
[3118602190176]	eSF	1.0	1.77	0.0	0.0	1.0	0.0	0.8
[3118602190176]	eSB	0.0	1.77	0.0	1.0	1.0	0.0	0.8
[3118602190176]	eMulti	0.0	0.19	0.0	0.0	0.0	0.0	0.2
[3118602190176]	ACS	3.0	7.00	0.0	4.0	7.0	0.0	0.0
[3118602191059]	eSF	4.0	5.00	0.0	0.0	4.0	0.0	1.0
[3118602191059]	eSB	4.0	5.00	0.0	1.0	5.0	0.0	0.0
[3118602191059]	eMulti	0.0	0.56	0.0	0.0	0.0	0.0	0.6
[3118602191059]	ACS	8.0	20.00	0.0	11.0	19.0	0.0	1.0
