SHC[SHC1]		214524	Dist (km)
>	L[CLU_1126]	22	20.00
>	L[CLU_1175]	137	20.00
>	L[CLU_1177]	126	20.00
>	L[CLU_1178]	209	20.00
>	L[CLU_1205]	210	20.00
>	L[CLU_1233]	104	20.00
>	L[CLU_1273]	144	20.00
>	L[CLU_1296]	126	20.00
>	L[CLU_1307]	96	20.00
>	L[CLU_1344]	543	20.00
>	L[CLU_1359]	545	20.00
>	L[CLU_1818]	97	20.00
>	L[CLU_1821]	246	20.00
>	L[CLU_1826]	462	20.00
>	L[CLU_1868]	7	20.00
>	L[CLU_1894]	297	20.00
>	L[CLU_2922]	1371	20.00
>	L[CLU_2923]	1972	20.00
>	L[CLU_2925]	1424	20.00
>	L[CLU_2926]	427	20.00
>	L[CLU_2927]	533	20.00
>	L[CLU_2929]	1029	20.00
>	L[CLU_2930]	298	20.00
>	L[CLU_2931]	531	20.00
>	L[CLU_2932]	2562	20.00
>	L[CLU_2933]	577	20.00
>	L[CLU_2935]	604	20.00
>	L[CLU_2936]	577	20.00
>	L[CLU_2937]	1733	20.00
>	L[CLU_2938]	522	20.00
>	L[CLU_2939]	78	20.00
>	L[CLU_2940]	970	20.00
>	L[CLU_2942]	2099	20.00
>	L[CLU_2943]	622	20.00
>	L[CLU_2944]	426	20.00
>	L[CLU_2945]	713	20.00
>	L[CLU_2946]	894	20.00
>	L[CLU_2947]	513	20.00
>	L[CLU_2948]	500	20.00
>	L[CLU_2950]	648	20.00
>	L[CLU_2951]	54	20.00
>	L[CLU_2953]	628	20.00
>	L[CLU_2954]	268	20.00
>	L[CLU_2955]	475	20.00
>	L[CLU_2956]	516	20.00
>	L[CLU_2957]	467	20.00
>	L[CLU_2958]	627	20.00
>	L[CLU_2961]	595	20.00
>	L[CLU_2963]	163	20.00
>	L[CLU_2964]	573	20.00
>	L[CLU_2965]	241	20.00
>	L[CLU_2966]	514	20.00
>	L[CLU_2968]	575	20.00
>	L[CLU_2970]	569	20.00
>	L[CLU_2971]	409	20.00
>	L[CLU_2973]	420	20.00
>	L[CLU_2974]	55	20.00
>	L[CLU_2975]	501	20.00
>	L[CLU_2978]	641	20.00
>	L[CLU_2979]	634	20.00
>	L[CLU_2982]	549	20.00
>	L[CLU_2983]	457	20.00
>	L[CLU_2985]	189	20.00
>	L[CLU_2986]	123	20.00
>	L[CLU_2987]	1397	20.00
>	L[CLU_2988]	1481	20.00
>	L[CLU_2989]	397	20.00
>	L[CLU_2990]	509	20.00
>	L[CLU_2994]	506	20.00
>	L[CLU_2997]	590	20.00
>	L[CLU_2998]	761	20.00
>	L[CLU_3000]	617	20.00
>	L[CLU_3001]	353	20.00
>	L[CLU_3005]	539	20.00
>	L[CLU_3008]	217	20.00
>	L[CLU_3011]	350	20.00
>	L[CLU_3012]	625	20.00
>	L[CLU_3013]	297	20.00
>	L[CLU_3014]	1385	20.00
>	L[CLU_3019]	545	20.00
>	L[CLU_3020]	400	20.00
>	L[CLU_3021]	1589	20.00
>	L[CLU_3022]	606	20.00
>	L[CLU_3024]	338	20.00
>	L[CLU_3026]	1934	20.00
>	L[CLU_3028]	1598	20.00
>	L[CLU_3030]	320	20.00
>	L[CLU_3032]	349	20.00
>	L[CLU_3033]	46	20.00
>	L[CLU_3034]	625	20.00
>	L[CLU_3035]	780	20.00
>	L[CLU_3036]	2063	20.00
>	L[CLU_3040]	196	20.00
>	L[CLU_3041]	476	20.00
>	L[CLU_3042]	260	20.00
>	L[CLU_3043]	426	20.00
>	L[CLU_3044]	502	20.00
>	L[CLU_3046]	1724	20.00
>	L[CLU_3047]	459	20.00
>	L[CLU_3048]	464	20.00
>	L[CLU_3052]	171	20.00
>	L[CLU_3053]	132	20.00
>	L[CLU_3054]	214	20.00
>	L[CLU_3055]	615	20.00
>	L[CLU_3056]	139	20.00
>	L[CLU_3057]	539	20.00
>	L[CLU_3059]	125	20.00
>	L[CLU_3060]	600	20.00
>	L[CLU_3061]	888	20.00
>	L[CLU_3062]	1704	20.00
>	L[CLU_3064]	18	20.00
>	L[CLU_3068]	44	20.00
>	L[CLU_3070]	588	20.00
>	L[CLU_3072]	1623	20.00
>	L[CLU_3074]	1221	20.00
>	L[CLU_3076]	1434	20.00
>	L[CLU_3082]	408	20.00
>	L[CLU_3083]	598	20.00
>	L[CLU_3084]	304	20.00
>	L[CLU_3085]	583	20.00
>	L[CLU_3086]	1021	20.00
>	L[CLU_3087]	392	20.00
>	L[CLU_3088]	1536	20.00
>	L[CLU_3089]	1202	20.00
>	L[CLU_3090]	559	20.00
>	L[CLU_3091]	139	20.00
>	L[CLU_3095]	514	20.00
>	L[CLU_3096]	386	20.00
>	L[CLU_3097]	173	20.00
>	L[CLU_3098]	2347	20.00
>	L[CLU_3100]	329	20.00
>	L[CLU_3101]	537	20.00
>	L[CLU_3104]	1935	20.00
>	L[CLU_3105]	295	20.00
>	L[CLU_3107]	462	20.00
>	L[CLU_3108]	217	20.00
>	L[CLU_3109]	678	20.00
>	L[CLU_3110]	225	20.00
>	L[CLU_3118]	553	20.00
>	L[CLU_3121]	351	20.00
>	L[CLU_3123]	234	20.00
>	L[CLU_3124]	484	20.00
>	L[CLU_3125]	1181	20.00
>	L[CLU_3127]	896	20.00
>	L[CLU_3129]	108	20.00
>	L[CLU_3130]	65	20.00
>	L[CLU_3131]	135	20.00
>	L[CLU_3132]	625	20.00
>	L[CLU_3134]	2014	20.00
>	L[CLU_3135]	597	20.00
>	L[CLU_3136]	336	20.00
>	L[CLU_3137]	486	20.00
>	L[CLU_3138]	2180	20.00
>	L[CLU_3140]	93	20.00
>	L[CLU_3141]	219	20.00
>	L[CLU_3142]	612	20.00
>	L[CLU_3143]	798	20.00
>	L[CLU_3144]	605	20.00
>	L[CLU_3145]	2512	20.00
>	L[CLU_3146]	268	20.00
>	L[CLU_3147]	581	20.00
>	L[CLU_3148]	332	20.00
>	L[CLU_3149]	555	20.00
>	L[CLU_3151]	532	20.00
>	L[CLU_3152]	582	20.00
>	L[CLU_3155]	1616	20.00
>	L[CLU_3156]	527	20.00
>	L[CLU_3158]	1807	20.00
>	L[CLU_3159]	609	20.00
>	L[CLU_3160]	626	20.00
>	L[CLU_3161]	402	20.00
>	L[CLU_3163]	741	20.00
>	L[CLU_3164]	704	20.00
>	L[CLU_3165]	443	20.00
>	L[CLU_3166]	1971	20.00
>	L[CLU_3167]	715	20.00
>	L[CLU_3168]	91	20.00
>	L[CLU_3169]	1466	20.00
>	L[CLU_3170]	487	20.00
>	L[CLU_3171]	611	20.00
>	L[CLU_3173]	594	20.00
>	L[CLU_3174]	2117	20.00
>	L[CLU_3175]	373	20.00
>	L[CLU_3176]	741	20.00
>	L[CLU_3177]	59	20.00
>	L[CLU_3178]	332	20.00
>	L[CLU_3179]	393	20.00
>	L[CLU_3180]	582	20.00
>	L[CLU_3181]	37	20.00
>	L[CLU_3184]	1150	20.00
>	L[CLU_3185]	426	20.00
>	L[CLU_3186]	1061	20.00
>	L[CLU_3187]	158	20.00
>	L[CLU_3189]	600	20.00
>	L[CLU_3190]	531	20.00
>	L[CLU_3191]	527	20.00
>	L[CLU_3192]	1267	20.00
>	L[CLU_3193]	596	20.00
>	L[CLU_3194]	630	20.00
>	L[CLU_3195]	610	20.00
>	L[CLU_3196]	328	20.00
>	L[CLU_3197]	254	20.00
>	L[CLU_3198]	1928	20.00
>	L[CLU_3199]	93	20.00
>	L[CLU_3201]	1666	20.00
>	L[CLU_3202]	575	20.00
>	L[CLU_3203]	255	20.00
>	L[CLU_3204]	939	20.00
>	L[CLU_3205]	924	20.00
>	L[CLU_3206]	931	20.00
>	L[CLU_3207]	1080	20.00
>	L[CLU_3208]	1570	20.00
>	L[CLU_3209]	1491	20.00
>	L[CLU_3210]	615	20.00
>	L[CLU_3211]	583	20.00
>	L[CLU_3213]	964	20.00
>	L[CLU_3214]	2859	20.00
>	L[CLU_3216]	319	20.00
>	L[CLU_3217]	605	20.00
>	L[CLU_3711]	94	20.00
>	L[CLU_3731]	139	20.00
>	L[CLU_3732]	94	20.00
>	L[CLU_4344]	104	20.00
>	L[CLU_7797]	168	20.00
>	L[CLU_7923]	359	20.00
>	L[CLU_7926]	12	20.00
>	L[CLU_7927]	241	20.00
>	L[CLU_7930]	93	20.00
>	L[CLU_7933]	2	20.00
>	L[CLU_7934]	65	20.00
>	L[CLU_7938]	26	20.00
>	L[CLU_7939]	177	20.00
>	L[CLU_7940]	0	20.00
>	L[CLU_7941]	24	20.00
>	L[CLU_7943]	68	20.00
>	L[CLU_7944]	77	20.00
>	L[CLU_7945]	13	20.00
>	L[CLU_7949]	379	20.00
>	L[CLU_7951]	3	20.00
>	L[CLU_7952]	1	20.00
>	L[CLU_7955]	221	20.00
>	L[CLU_948]	70	20.00
>	L[CLU_956]	259	20.00
>	L[3118602190567]	245	20.00
>	L[3118602190605]	1500	20.00
>	L[3118602190109]	750	20.00
>	L[3118607116306]	1500	20.00
>	L[3118602190931]	1500	20.00
>	L[3118602190486]	3750	20.00
>	L[3118602190915]	1500	20.00
>	L[3118602190222]	2250	20.00
>	L[3118602190389]	1500	20.00
>	L[3118607110316]	3000	20.00
>	L[3118602190397]	1500	20.00
>	L[3118602190451]	1500	20.00
>	L[3118602190400]	1500	20.00
>	L[3118602190826]	2250	20.00
>	L[3118602190729]	170	20.00
>	L[3118602190796]	1379	20.00
>	L[3118602190648]	1334	20.00
>	L[3118602190818]	2250	20.00
>	L[CLU_2961]	3750	20.00
>	L[CLU_2971]	2250	20.00
>	L[CLU_3055]	2217	20.00
>	L[CLU_3060]	3750	20.00
>	L[CLU_3108]	1557	20.00
>	L[THC1]	21452	20.00
