THC[THC1]		81215	Dist (km)
>	L[CLU_1001]	154	25.00
>	L[CLU_1307]	331	25.00
>	L[CLU_2928]	296	25.00
>	L[CLU_2934]	524	25.00
>	L[CLU_2935]	0	25.00
>	L[CLU_2941]	615	25.00
>	L[CLU_2942]	557	25.00
>	L[CLU_2949]	586	25.00
>	L[CLU_2952]	393	25.00
>	L[CLU_2959]	152	25.00
>	L[CLU_2960]	423	25.00
>	L[CLU_2962]	2822	25.00
>	L[CLU_2967]	240	25.00
>	L[CLU_2969]	526	25.00
>	L[CLU_2972]	541	25.00
>	L[CLU_2976]	455	25.00
>	L[CLU_2977]	2839	25.00
>	L[CLU_2980]	674	25.00
>	L[CLU_2981]	513	25.00
>	L[CLU_2984]	605	25.00
>	L[CLU_2991]	618	25.00
>	L[CLU_2992]	164	25.00
>	L[CLU_2993]	514	25.00
>	L[CLU_2995]	194	25.00
>	L[CLU_2996]	2906	25.00
>	L[CLU_2999]	470	25.00
>	L[CLU_3002]	309	25.00
>	L[CLU_3003]	402	25.00
>	L[CLU_3004]	858	25.00
>	L[CLU_3006]	422	25.00
>	L[CLU_3007]	1895	25.00
>	L[CLU_3009]	528	25.00
>	L[CLU_3010]	570	25.00
>	L[CLU_3015]	61	25.00
>	L[CLU_3016]	604	25.00
>	L[CLU_3017]	221	25.00
>	L[CLU_3018]	549	25.00
>	L[CLU_3023]	592	25.00
>	L[CLU_3025]	2075	25.00
>	L[CLU_3027]	280	25.00
>	L[CLU_3029]	587	25.00
>	L[CLU_3031]	1495	25.00
>	L[CLU_3035]	550	25.00
>	L[CLU_3037]	589	25.00
>	L[CLU_3038]	1768	25.00
>	L[CLU_3039]	514	25.00
>	L[CLU_3042]	582	25.00
>	L[CLU_3045]	568	25.00
>	L[CLU_3049]	602	25.00
>	L[CLU_3050]	475	25.00
>	L[CLU_3051]	589	25.00
>	L[CLU_3058]	566	25.00
>	L[CLU_3063]	1733	25.00
>	L[CLU_3064]	581	25.00
>	L[CLU_3065]	1150	25.00
>	L[CLU_3066]	610	25.00
>	L[CLU_3067]	628	25.00
>	L[CLU_3069]	359	25.00
>	L[CLU_3071]	781	25.00
>	L[CLU_3073]	854	25.00
>	L[CLU_3075]	540	25.00
>	L[CLU_3077]	526	25.00
>	L[CLU_3078]	607	25.00
>	L[CLU_3079]	140	25.00
>	L[CLU_3080]	368	25.00
>	L[CLU_3081]	1386	25.00
>	L[CLU_3091]	105	25.00
>	L[CLU_3092]	165	25.00
>	L[CLU_3093]	522	25.00
>	L[CLU_3094]	625	25.00
>	L[CLU_3099]	455	25.00
>	L[CLU_3102]	109	25.00
>	L[CLU_3103]	560	25.00
>	L[CLU_3106]	93	25.00
>	L[CLU_3111]	234	25.00
>	L[CLU_3112]	159	25.00
>	L[CLU_3113]	47	25.00
>	L[CLU_3116]	221	25.00
>	L[CLU_3117]	315	25.00
>	L[CLU_3119]	66	25.00
>	L[CLU_3120]	272	25.00
>	L[CLU_3122]	442	25.00
>	L[CLU_3126]	151	25.00
>	L[CLU_3128]	614	25.00
>	L[CLU_3133]	643	25.00
>	L[CLU_3139]	595	25.00
>	L[CLU_3150]	307	25.00
>	L[CLU_3153]	1889	25.00
>	L[CLU_3154]	590	25.00
>	L[CLU_3157]	234	25.00
>	L[CLU_3162]	542	25.00
>	L[CLU_3172]	686	25.00
>	L[CLU_3179]	1469	25.00
>	L[CLU_3181]	450	25.00
>	L[CLU_3182]	664	25.00
>	L[CLU_3183]	571	25.00
>	L[CLU_3188]	568	25.00
>	L[CLU_3198]	6	25.00
>	L[CLU_3200]	1597	25.00
>	L[CLU_3212]	729	25.00
>	L[CLU_3213]	256	25.00
>	L[CLU_3215]	334	25.00
>	L[CLU_7876]	232	25.00
>	L[CLU_7904]	102	25.00
>	L[CLU_7925]	2	25.00
>	L[CLU_7928]	92	25.00
>	L[CLU_7931]	1	25.00
>	L[CLU_7932]	101	25.00
>	L[CLU_7935]	194	25.00
>	L[CLU_7936]	90	25.00
>	L[CLU_7937]	0	25.00
>	L[CLU_7942]	26	25.00
>	L[CLU_7953]	2	25.00
>	L[CLU_7954]	33	25.00
>	L[CLU_952]	133	25.00
>	L[3118602190567]	621	25.00
>	L[3118602190532]	2250	25.00
>	L[3118602190923]	3000	25.00
>	L[CLU_2970]	2250	25.00
>	L[SHC1]	8121	20.00
