PHC	Capty	Exp	TCapty	Met	Use
[3118602190990]	9000	0	9000	8999	1.00
[3118602191229]	6000	0	6000	6000	1.00
[3118602190591]	9000	0	9000	8999	1.00
[3118602190567]	3000	3000	6000	5999	1.00
[3118602190532]	9000	0	9000	8999	1.00
[3118602190494]	6000	6000	12000	10500	0.88
[3118602190869]	3000	9000	12000	10499	0.87
[3118602190605]	3000	3000	6000	5999	1.00
[3118602190109]	3000	3000	6000	5999	1.00
[3118607116306]	6000	0	6000	5999	1.00
[3118602190931]	6000	0	6000	6000	1.00
[3118602190923]	12000	0	12000	11999	1.00
[3118602190893]	12000	0	12000	10499	0.87
[3118602190486]	12000	3000	15000	15000	1.00
[3118602190915]	6000	0	6000	5999	1.00
[3118602190222]	9000	0	9000	8999	1.00
[3118604696077]	9000	3000	12000	10499	0.87
[3118602191024]	3000	3000	6000	5999	1.00
[3118602190478]	3000	3000	6000	6000	1.00
[3118602190389]	6000	0	6000	6000	1.00
[3118607110316]	12000	0	12000	11999	1.00
[3118602220261]	3000	3000	6000	5999	1.00
[3118602190397]	3000	3000	6000	5999	1.00
[3118602190176]	3000	6000	9000	7000	0.78
[3118602191059]	12000	0	12000	10499	0.87
[3118602191040]	3000	3000	6000	6000	1.00
[3118602190451]	6000	0	6000	6000	1.00
[3118602190206]	6000	3000	9000	6999	0.78
[3118602190966]	3000	6000	9000	7000	0.78
[3118602190400]	3000	3000	6000	6000	1.00
[3118602190877]	6000	3000	9000	6999	0.78
[3118602190826]	9000	0	9000	9000	1.00
[3118602190729]	6000	0	6000	6000	1.00
[3118602190656]	6000	0	6000	5942	0.99
[3118602190834]	3000	3000	6000	5999	1.00
[3118602190710]	3000	0	3000	3000	1.00
[3118602190796]	3000	3000	6000	5517	0.92
[3118602190648]	3000	3000	6000	5339	0.89
[3118602190818]	9000	0	9000	8999	1.00
[3118602190885]	9000	3000	12000	10500	0.88
[3118607053355]	3000	6000	9000	6999	0.78
[3118602190192]	3000	6000	9000	8999	1.00
[3118602190214]	6000	0	6000	5999	1.00
[3118602190680]	9000	0	9000	6000	0.67
[3118602190753]	3000	3000	6000	5999	1.00
[3118602190141]	3000	3000	6000	5999	1.00
[3118602220245]	6000	0	6000	5999	1.00
[3118602190788]	3000	3000	6000	6000	1.00
[CLU_2943*]:	9000	0	9000	3500	0.39
[CLU_2961*]:	9000	6000	15000	14999	1.00
[CLU_2970*]:	9000	0	9000	8999	1.00
[CLU_2971*]:	9000	0	9000	9000	1.00
[CLU_3051*]:	9000	0	9000	9000	1.00
[CLU_3055*]:	9000	0	9000	9000	1.00
[CLU_3060*]:	9000	6000	15000	14999	1.00
[CLU_3084*]:	9000	6000	15000	14000	0.93
[CLU_3108*]:	9000	0	9000	6229	0.69
[CLU_3121*]:	9000	3000	12000	10500	0.88
[CLU_3128*]:	9000	0	9000	9000	1.00
[CLU_3141*]:	9000	0	9000	9000	1.00
[CLU_3143*]:	9000	0	9000	8999	1.00
[CLU_3160*]:	9000	0	9000	6768	0.75
[CLU_3166*]:	9000	0	9000	9000	1.00
[CLU_3176*]:	9000	0	9000	6999	0.78
[CLU_3200*]:	9000	6000	15000	15000	1.00
[CLU_3214*]:	9000	0	9000	8999	1.00
[CLU_7923*]:	9000	3000	12000	10500	0.88
