From	To	Team	Qty	Dist (km)
[3118602190990]	[CLU_3214]*	eSF	1.00	1.78
[3118602191229]	[CLU_3214]*	eSF	1.00	1.35
[3118602190591]	[CLU_3121]*	eSF	1.00	3.96
[3118602190532]	[CLU_3121]*	eSF	1.00	6.79
[3118607116306]	[CLU_3060]*	eSF	1.00	7.50
[3118602190931]	[CLU_2971]*	eSF	1.00	1.43
[3118602190923]	[CLU_2961]*	eSF	1.00	3.79
[3118602190923]	[CLU_3060]*	eSF	1.00	6.81
[3118602190923]	[CLU_7923]*	eSF	1.00	4.52
[3118602190893]	[CLU_2961]*	eSF	1.00	5.20
[3118602190893]	[CLU_2970]*	eSF	1.00	4.09
[3118602190893]	[CLU_3200]*	eSF	1.00	11.07
[3118602190915]	[CLU_2961]*	eSF	1.00	5.23
[3118602190222]	[CLU_2970]*	eSF	1.00	3.00
[3118604696077]	[CLU_3055]*	eSF	1.00	1.17
[3118602190389]	[CLU_3051]*	eSF	1.00	1.04
[3118607110316]	[CLU_2961]*	eSF	1.00	7.85
[3118607110316]	[CLU_3060]*	eSF	1.00	2.44
[3118602191059]	[CLU_2971]*	eSF	1.00	6.91
[3118602191059]	[CLU_3055]*	eSF	1.00	2.24
[3118602190451]	[CLU_3051]*	eSF	1.00	2.91
[3118602190206]	[CLU_3084]*	eSF	1.00	0.86
[3118602190877]	[CLU_3084]*	eSF	1.00	0.86
[3118602190826]	[CLU_3128]*	eSF	1.00	17.93
[3118602190729]	[CLU_3108]*	eSF	1.00	6.55
[3118602190656]	[CLU_7923]*	eSF	1.00	8.67
[3118602190818]	[CLU_3084]*	eSF	1.00	7.24
[3118602190885]	[CLU_3060]*	eSF	1.00	2.46
[3118602190214]	[CLU_3200]*	eSF	1.00	3.24
[3118602190680]	[CLU_3143]*	eSF	1.00	0.96
[3118602190680]	[CLU_3200]*	eSF	1.00	3.65
[3118602220245]	[CLU_3200]*	eSF	1.00	0.87
[3118602191059]	[CLU_3051]*	eSB	1.00	1.42
[3118602190591]	[CLU_3200]*	eMulti	1.00	3.25
[3118602190931]	[CLU_2961]*	eMulti	1.00	2.70
[3118602190222]	[CLU_3060]*	eMulti	1.00	7.84
[3118602190656]	[CLU_3084]*	eMulti	1.00	10.76
[3118602190591]	[CLU_2943]*	ACS	1.00	0.66
[3118602190605]	[CLU_2961]*	ACS	1.00	1.84
[3118602190605]	[CLU_2970]*	ACS	1.00	2.18
[3118602190931]	[CLU_2970]*	ACS	1.00	1.56
[3118602190931]	[CLU_2971]*	ACS	1.00	1.43
[3118602190923]	[3118602190893]	ACS	1.00	1.78
[3118602190923]	[3118602190486]	ACS	1.00	0.98
[3118602190923]	[3118602190915]	ACS	1.00	1.51
[3118602190710]	[3118602190648]	ACS	1.00	1.18
[3118602190710]	[3118602190818]	ACS	1.00	4.12
[3118602190710]	[3118602190885]	ACS	1.00	8.20
[3118602190710]	[3118607053355]	ACS	1.00	10.61
[3118602190710]	[CLU_2961]*	ACS	1.00	13.60
[3118602190710]	[CLU_2971]*	ACS	1.00	13.85
[3118602190710]	[CLU_3051]*	ACS	1.00	12.48
[3118602190710]	[CLU_3055]*	ACS	1.00	10.72
[3118602190710]	[CLU_3060]*	ACS	1.00	10.08
[3118602190710]	[CLU_3084]*	ACS	1.00	11.31
[3118602190710]	[CLU_3108]*	ACS	1.00	5.52
[3118602190710]	[CLU_3121]*	ACS	1.00	18.34
[3118602190710]	[CLU_7923]*	ACS	1.00	8.07
