RC[313760105000002]		253	Dist (km)
>	L[313760105000259]	190	0.78
>	L[313760105000259] tel	9
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000003]		332	Dist (km)
>	L[313760105000259]	249	0.57
>	L[313760105000259] tel	12
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000004]		0	Dist (km)
RC[313760105000005]		502	Dist (km)
>	L[313760105000239]	377	0.32
>	L[313760105000239] tel	18
>	L[SHC1]	75	20.00
>	L[SHC1] tel	3
>	L[THC1]	25	25.00
>	L[THC1] tel	1
RC[313760105000007]		312	Dist (km)
>	L[313760105000239]	234	0.72
>	L[313760105000239] tel	11
>	L[SHC1]	46	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000008]		505	Dist (km)
>	L[313760105000239]	463	0.47
>	L[313760105000239] tel	23
>	L[SHC1]	17	20.00
>	L[SHC1] tel	0
RC[313760105000009]		426	Dist (km)
>	L[313760105000080]	341	0.74
>	L[313760105000080] tel	17
>	L[SHC1]	63	20.00
>	L[SHC1] tel	3
RC[313760105000010]		294	Dist (km)
>	L[313760105000080]	280	0.57
>	L[313760105000080] tel	14
RC[313760105000011]		305	Dist (km)
>	L[313760105000013]	244	0.61
>	L[313760105000013] tel	12
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
RC[313760105000012]		543	Dist (km)
>	L[313760105000013]	517	0.45
>	L[313760105000013] tel	25
RC[313760105000013]		620	Dist (km)
>	L[313760105000013]	620	0.00
RC[313760105000015]		607	Dist (km)
>	L[313760105000076]	487	1.21
>	L[313760105000076] tel	24
>	L[SHC1]	91	20.00
>	L[SHC1] tel	4
RC[313760105000016]		139	Dist (km)
>	L[313760105000270]	111	1.01
>	L[313760105000270] tel	5
>	L[SHC1]	20	20.00
>	L[SHC1] tel	1
RC[313760105000020]		380	Dist (km)
>	L[313760105000125]	285	0.74
>	L[313760105000125] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000021]		280	Dist (km)
>	L[313760105000125]	246	0.43
>	L[313760105000125] tel	12
>	L[SHC1]	20	20.00
>	L[SHC1] tel	1
RC[313760105000022]		245	Dist (km)
>	L[313760105000125]	184	0.75
>	L[313760105000125] tel	9
>	L[SHC1]	36	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000024]		94	Dist (km)
>	L[313760105000285]	75	1.88
>	L[313760105000285] tel	3
>	L[SHC1]	14	20.00
>	L[SHC1] tel	0
RC[313760105000026]		347	Dist (km)
>	L[313760105000235]	261	0.69
>	L[313760105000235] tel	13
>	L[SHC1]	52	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000027]		582	Dist (km)
>	L[313760105000122]	466	0.54
>	L[313760105000122] tel	23
>	L[SHC1]	87	20.00
>	L[SHC1] tel	4
RC[313760105000028]		317	Dist (km)
>	L[313760105000122]	301	0.31
>	L[313760105000122] tel	15
RC[313760105000029]		191	Dist (km)
>	L[313760105000168]	181	0.66
>	L[313760105000168] tel	9
RC[313760105000030]		231	Dist (km)
>	L[313760105000259]	173	0.58
>	L[313760105000259] tel	8
>	L[SHC1]	34	20.00
>	L[SHC1] tel	1
>	L[THC1]	11	25.00
>	L[THC1] tel	0
RC[313760105000036]		251	Dist (km)
>	L[313760105000132]	201	0.12
>	L[313760105000132] tel	10
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
RC[313760105000037]		418	Dist (km)
