L[313760105000013]		2679	Dist (km)
>	L[313760105000011]	256	0.61
>	L[313760105000012]	543	0.45
>	L[313760105000013]	620	0.00
>	L[313760105000089]	96	0.53
>	L[313760105000095]	233	0.63
>	L[313760105000098]	152	1.25
>	L[SHC1]	643	20.00
>	L[THC1]	133	25.00
L[313760105000076]		2862	Dist (km)
>	L[313760105000074]	384	0.54
>	L[313760105000075]	174	0.26
>	L[313760105000076]	134	0.00
>	L[313760105000077]	314	0.26
>	L[313760105000084]	151	0.36
>	L[313760105000085]	182	0.35
>	L[313760105000086]	390	0.53
>	L[313760105000248]	269	0.94
>	L[313760105000249]	32	0.93
>	L[SHC1]	686	20.00
>	L[THC1]	143	25.00
L[313760105000080]		2784	Dist (km)
>	L[313760105000009]	358	0.74
>	L[313760105000010]	232	0.57
>	L[313760105000078]	238	0.34
>	L[313760105000080]	263	0.00
>	L[313760105000081]	155	1.03
>	L[313760105000082]	80	0.57
>	L[313760105000083]	238	0.67
>	L[313760105000238]	278	0.88
>	L[313760105000256]	133	0.35
>	L[SHC1]	668	20.00
>	L[THC1]	139	25.00
L[313760105000102]		2548	Dist (km)
>	L[313760105000102]	927	0.00
>	L[313760105000103]	230	0.87
>	L[313760105000170]	329	0.40
>	L[313760105000275]	271	0.48
>	L[313760105000284]	50	1.41
>	L[SHC1]	611	20.00
>	L[THC1]	127	25.00
L[313760105000122]		2797	Dist (km)
>	L[313760105000027]	325	0.54
>	L[313760105000028]	317	0.31
>	L[313760105000122]	378	0.00
>	L[313760105000208]	405	0.26
>	L[313760105000218]	561	0.40
>	L[SHC1]	671	20.00
>	L[THC1]	139	25.00
L[313760105000125]		2990	Dist (km)
>	L[313760105000020]	300	0.74
>	L[313760105000021]	258	0.43
>	L[313760105000022]	193	0.75
>	L[313760105000099]	374	1.53
>	L[313760105000123]	83	0.59
>	L[313760105000124]	162	0.26
>	L[313760105000165]	209	0.32
>	L[313760105000203]	291	0.59
>	L[313760105000204]	248	0.78
>	L[SHC1]	717	20.00
>	L[THC1]	149	25.00
L[313760105000132]		2706	Dist (km)
>	L[313760105000036]	211	0.12
>	L[313760105000037]	418	0.38
>	L[313760105000132]	224	0.00
>	L[313760105000237]	129	0.70
>	L[313760105000278]	656	0.40
>	L[313760105000279]	281	0.52
>	L[SHC1]	649	20.00
>	L[THC1]	135	25.00
L[313760105000135]		2765	Dist (km)
>	L[313760105000040]	308	0.86
>	L[313760105000135]	268	0.00
>	L[313760105000136]	238	0.53
>	L[313760105000142]	178	0.67
>	L[313760105000219]	295	0.95
>	L[313760105000260]	179	0.59
>	L[313760105000261]	214	0.51
>	L[313760105000262]	281	0.57
>	L[SHC1]	663	20.00
>	L[THC1]	138	25.00
L[313760105000139]		5574	Dist (km)
>	L[313760105000138]	554	0.21
>	L[313760105000139]	324	0.00
>	L[313760105000162]	327	0.42
>	L[313760105000163]	322	0.44
>	L[313760105000182]	507	0.63
>	L[313760105000183]	614	0.62
>	L[313760105000184]	404	0.74
>	L[313760105000209]	619	0.54
>	L[313760105000210]	48	0.85
>	L[313760115000015]	8	2.20
>	L[313760115000034]	231	1.28
>	L[SHC1]	1337	20.00
>	L[THC1]	278	25.00
L[313760105000168]		2363	Dist (km)
>	L[313760105000029]	13	0.66
>	L[313760105000067]	193	0.44
>	L[313760105000126]	178	0.37
>	L[313760105000127]	425	0.25
>	L[313760105000168]	312	0.00
>	L[313760105000169]	241	0.30
>	L[313760105000176]	316	0.26
>	L[SHC1]	567	20.00
>	L[THC1]	118	25.00
L[313760105000180]		5318	Dist (km)
>	L[313760105000128]	773	0.58
>	L[313760105000129]	131	0.70
>	L[313760105000134]	253	0.72
>	L[313760105000147]	306	1.78
>	L[313760105000172]	123	2.54
>	L[313760105000177]	320	0.31
>	L[313760105000178]	361	0.34
>	L[313760105000179]	231	0.22
>	L[313760105000180]	373	0.00
>	L[313760105000217]	369	0.60
>	L[313760105000252]	348	0.47
>	L[313760105000253]	188	0.74
>	L[SHC1]	1276	20.00
>	L[THC1]	265	25.00
L[313760105000186]		3000	Dist (km)
>	L[313760105000045]	316	0.43
>	L[313760105000141]	158	0.52
>	L[313760105000186]	212	0.00
>	L[313760105000187]	352	0.21
>	L[313760105000254]	206	0.75
>	L[313760105000255]	302	0.65
>	L[313760105000282]	259	0.38
>	L[313760105000283]	322	0.70
>	L[SHC1]	720	20.00
>	L[THC1]	150	25.00
L[313760105000201]		2865	Dist (km)
>	L[313760105000096]	142	0.88
>	L[313760105000171]	301	0.35
>	L[313760105000198]	262	0.17
>	L[313760105000199]	326	0.28
>	L[313760105000201]	231	0.00
>	L[313760105000202]	51	0.26
>	L[313760105000213]	321	0.45
>	L[313760105000214]	69	0.58
>	L[313760105000265]	329	1.33
>	L[SHC1]	687	20.00
>	L[THC1]	143	25.00
L[313760105000235]		2804	Dist (km)
>	L[313760105000026]	148	0.69
>	L[313760105000058]	139	2.52
>	L[313760105000118]	251	1.38
>	L[313760105000120]	278	1.02
>	L[313760105000166]	304	1.26
>	L[313760105000173]	187	1.86
>	L[313760105000174]	153	2.38
>	L[313760105000205]	112	0.94
>	L[313760105000206]	86	0.68
>	L[313760105000235]	331	0.00
>	L[SHC1]	672	20.00
>	L[THC1]	140	25.00
L[313760105000239]		2948	Dist (km)
>	L[313760105000005]	396	0.32
>	L[313760105000071]	232	0.69
>	L[313760105000072]	233	0.57
>	L[313760105000211]	189	0.83
>	L[313760105000239]	443	0.00
>	L[313760105000240]	240	0.78
>	L[313760105000241]	358	0.29
>	L[SHC1]	707	20.00
>	L[THC1]	147	25.00
L[313760105000242]		2923	Dist (km)
>	L[313760105000066]	358	0.26
>	L[313760105000133]	493	0.42
>	L[313760105000188]	359	0.23
>	L[313760105000189]	218	0.57
>	L[313760105000242]	282	0.00
>	L[313760105000243]	366	0.30
>	L[SHC1]	701	20.00
>	L[THC1]	146	25.00
L[313760105000259]		2381	Dist (km)
>	L[313760105000003]	262	0.57
>	L[313760105000068]	154	0.35
>	L[313760105000195]	62	1.89
>	L[313760105000246]	137	0.32
>	L[313760105000247]	116	0.39
>	L[313760105000258]	239	0.28
>	L[313760105000259]	334	0.00
>	L[313760105000276]	383	0.53
>	L[SHC1]	571	20.00
>	L[THC1]	119	25.00
L[313760105000264]		686	Dist (km)
>	L[313760105000264]	324	0.00
>	L[313760105000280]	163	2.52
>	L[SHC1]	164	20.00
>	L[THC1]	34	25.00
L[313760105000268]		8288	Dist (km)
>	L[313760105000064]	308	0.67
>	L[313760105000151]	229	1.05
>	L[313760105000164]	387	0.50
>	L[313760105000190]	293	1.04
>	L[313760105000192]	92	1.54
>	L[313760105000193]	438	0.86
>	L[313760105000194]	6	0.73
>	L[313760105000220]	287	1.11
>	L[313760105000222]	164	0.60
>	L[313760105000223]	443	0.22
>	L[313760105000224]	179	0.81
>	L[313760105000225]	217	1.30
>	L[313760105000226]	399	0.94
>	L[313760105000227]	546	0.60
>	L[313760105000229]	352	0.81
>	L[313760105000266]	305	0.14
>	L[313760105000267]	264	0.34
>	L[313760105000268]	399	0.00
>	L[313760105000269]	424	0.09
>	L[313760105000281]	151	1.69
>	L[SHC1]	1989	20.00
>	L[THC1]	414	25.00
L[313760105000270]		2683	Dist (km)
>	L[313760105000016]	117	1.01
>	L[313760105000048]	36	3.90
>	L[313760105000087]	150	1.12
>	L[313760105000088]	46	0.73
>	L[313760105000091]	339	0.44
>	L[313760105000092]	58	0.63
>	L[313760105000144]	84	1.61
>	L[313760105000145]	382	1.50
>	L[313760105000270]	343	0.00
>	L[313760105000271]	326	0.32
>	L[313760114000009]	23	2.33
>	L[SHC1]	643	20.00
>	L[THC1]	134	25.00
L[313760105000285]		2908	Dist (km)
>	L[313760105000024]	79	1.88
>	L[313760105000050]	3	2.39
>	L[313760105000106]	53	1.15
>	L[313760105000112]	86	0.93
>	L[313760105000167]	333	1.19
>	L[313760105000215]	159	1.40
>	L[313760105000216]	149	1.29
>	L[313760105000230]	90	2.54
>	L[313760105000231]	101	2.92
>	L[313760105000272]	427	1.66
>	L[313760105000273]	402	1.80
>	L[313760105000285]	181	0.00
>	L[SHC1]	698	20.00
>	L[THC1]	145	25.00
L[313760114000002]		839	Dist (km)
>	L[313760114000002]	105	0.00
>	L[313760114000007]	272	1.67
>	L[313760114000008]	213	1.54
>	L[313760114000010]	4	3.85
>	L[SHC1]	201	20.00
>	L[THC1]	41	25.00
L[313760115000023]		6739	Dist (km)
>	L[313760105000152]	124	1.95
>	L[313760115000001]	130	4.25
>	L[313760115000003]	325	1.12
>	L[313760115000005]	58	4.36
>	L[313760115000006]	3	4.46
>	L[313760115000007]	40	3.45
>	L[313760115000008]	279	3.68
>	L[313760115000009]	220	3.21
>	L[313760115000010]	106	4.45
>	L[313760115000011]	281	3.83
>	L[313760115000014]	143	0.71
>	L[313760115000018]	311	2.78
>	L[313760115000019]	33	2.17
>	L[313760115000020]	730	0.93
>	L[313760115000021]	128	0.55
>	L[313760115000022]	191	0.34
>	L[313760115000023]	42	0.00
>	L[313760115000024]	239	0.53
>	L[313760115000025]	136	0.35
>	L[313760115000026]	214	0.43
>	L[313760115000027]	267	0.81
>	L[313760115000029]	96	1.39
>	L[313760115000030]	57	2.31
>	L[313760115000031]	278	1.98
>	L[313760115000032]	146	1.88
>	L[313760115000033]	195	1.47
>	L[SHC1]	1617	20.00
>	L[THC1]	336	25.00
