L[SHC1]		24892	Dist (km)
>	L[313760105000002]	253	20.00
>	L[313760105000005]	105	20.00
>	L[313760105000007]	312	20.00
>	L[313760105000008]	505	20.00
>	L[313760105000009]	67	20.00
>	L[313760105000015]	607	20.00
>	L[313760105000016]	21	20.00
>	L[313760105000020]	79	20.00
>	L[313760105000022]	51	20.00
>	L[313760105000024]	14	20.00
>	L[313760105000027]	256	20.00
>	L[313760105000030]	231	20.00
>	L[313760105000036]	39	20.00
>	L[313760105000039]	701	20.00
>	L[313760105000040]	81	20.00
>	L[313760105000043]	448	20.00
>	L[313760105000045]	84	20.00
>	L[313760105000058]	37	20.00
>	L[313760105000064]	81	20.00
>	L[313760105000068]	40	20.00
>	L[313760105000069]	114	20.00
>	L[313760105000071]	61	20.00
>	L[313760105000072]	77	20.00
>	L[313760105000074]	43	20.00
>	L[313760105000082]	95	20.00
>	L[313760105000083]	134	20.00
>	L[313760105000087]	28	20.00
>	L[313760105000088]	284	20.00
>	L[313760105000089]	122	20.00
>	L[313760105000090]	533	20.00
>	L[313760105000094]	505	20.00
>	L[313760105000095]	61	20.00
>	L[313760105000099]	92	20.00
>	L[313760105000103]	70	20.00
>	L[313760105000105]	403	20.00
>	L[313760105000106]	719	20.00
>	L[313760105000108]	139	20.00
>	L[313760105000109]	313	20.00
>	L[313760105000110]	359	20.00
>	L[313760105000118]	49	20.00
>	L[313760105000120]	51	20.00
>	L[313760105000123]	15	20.00
>	L[313760105000124]	43	20.00
>	L[313760105000125]	97	20.00
>	L[313760105000129]	247	20.00
>	L[313760105000132]	111	20.00
>	L[313760105000135]	71	20.00
>	L[313760105000141]	42	20.00
>	L[313760105000142]	47	20.00
>	L[313760105000146]	68	20.00
>	L[313760105000151]	60	20.00
>	L[313760105000161]	452	20.00
>	L[313760105000166]	80	20.00
>	L[313760105000170]	87	20.00
>	L[313760105000171]	80	20.00
>	L[313760105000175]	238	20.00
>	L[313760105000186]	39	20.00
>	L[313760105000187]	75	20.00
>	L[313760105000196]	131	20.00
>	L[313760105000199]	86	20.00
>	L[313760105000203]	77	20.00
>	L[313760105000204]	62	20.00
>	L[313760105000205]	29	20.00
>	L[313760105000206]	22	20.00
>	L[313760105000207]	390	20.00
>	L[313760105000211]	50	20.00
>	L[313760105000214]	301	20.00
>	L[313760105000215]	29	20.00
>	L[313760105000216]	28	20.00
>	L[313760105000228]	288	20.00
>	L[313760105000229]	225	20.00
>	L[313760105000231]	18	20.00
>	L[313760105000232]	326	20.00
>	L[313760105000233]	121	20.00
>	L[313760105000234]	388	20.00
>	L[313760105000236]	309	20.00
>	L[313760105000237]	281	20.00
>	L[313760105000238]	52	20.00
>	L[313760105000245]	111	20.00
>	L[313760105000246]	36	20.00
>	L[313760105000247]	31	20.00
>	L[313760105000248]	50	20.00
>	L[313760105000249]	144	20.00
>	L[313760105000251]	165	20.00
>	L[313760105000257]	184	20.00
>	L[313760105000259]	88	20.00
>	L[313760105000260]	47	20.00
>	L[313760105000262]	74	20.00
>	L[313760105000275]	72	20.00
>	L[313760105000279]	64	20.00
>	L[313760105000280]	167	20.00
>	L[313760105000282]	69	20.00
>	L[313760105000283]	155	20.00
>	L[313760105000284]	13	20.00
>	L[313760114000002]	27	20.00
>	L[313760114000008]	56	20.00
>	L[313760115000001]	34	20.00
>	L[313760115000002]	92	20.00
>	L[313760115000005]	15	20.00
>	L[313760115000007]	10	20.00
>	L[313760115000008]	74	20.00
>	L[313760115000009]	58	20.00
>	L[313760115000010]	28	20.00
>	L[313760115000011]	74	20.00
>	L[313760115000014]	38	20.00
>	L[313760115000018]	82	20.00
>	L[313760115000019]	9	20.00
>	L[313760115000020]	194	20.00
>	L[313760115000022]	51	20.00
>	L[313760115000023]	11	20.00
>	L[313760115000024]	63	20.00
>	L[313760115000025]	197	20.00
>	L[313760115000026]	56	20.00
>	L[313760115000027]	71	20.00
>	L[313760115000029]	25	20.00
>	L[313760115000030]	15	20.00
>	L[313760115000033]	52	20.00
>	L[313760105000080]	386	20.00
>	L[313760105000139]	1616	20.00
>	L[313760105000168]	507	20.00
>	L[313760105000180]	827	20.00
>	L[313760105000242]	326	20.00
>	L[313760105000268]	678	20.00
>	L[313760105000270]	12	20.00
>	L[313760105000285]	234	20.00
>	L[313760115000023]	1631	20.00
>	L[THC1]	2489	20.00
