L[THC1]		7623	Dist (km)
>	L[313760105000003]	69	25.00
>	L[313760105000010]	61	25.00
>	L[313760105000011]	48	25.00
>	L[313760105000021]	21	25.00
>	L[313760105000026]	198	25.00
>	L[313760105000029]	177	25.00
>	L[313760105000076]	44	25.00
>	L[313760105000081]	28	25.00
>	L[313760105000096]	37	25.00
>	L[313760105000097]	179	25.00
>	L[313760105000098]	40	25.00
>	L[313760105000101]	37	25.00
>	L[313760105000102]	178	25.00
>	L[313760105000105]	181	25.00
>	L[313760105000108]	26	25.00
>	L[313760105000109]	83	25.00
>	L[313760105000114]	11	25.00
>	L[313760105000125]	26	25.00
>	L[313760105000136]	63	25.00
>	L[313760105000140]	527	25.00
>	L[313760105000150]	545	25.00
>	L[313760105000164]	102	25.00
>	L[313760105000165]	55	25.00
>	L[313760105000185]	388	25.00
>	L[313760105000191]	360	25.00
>	L[313760105000194]	1	25.00
>	L[313760105000195]	16	25.00
>	L[313760105000200]	250	25.00
>	L[313760105000201]	61	25.00
>	L[313760105000202]	320	25.00
>	L[313760105000212]	154	25.00
>	L[313760105000219]	266	25.00
>	L[313760105000221]	2	25.00
>	L[313760105000235]	61	25.00
>	L[313760105000250]	152	25.00
>	L[313760105000253]	141	25.00
>	L[313760105000258]	63	25.00
>	L[313760105000261]	56	25.00
>	L[313760105000263]	3	25.00
>	L[313760105000274]	341	25.00
>	L[313760105000276]	102	25.00
>	L[313760105000277]	145	25.00
>	L[313760114000007]	72	25.00
>	L[313760114000010]	4	25.00
>	L[313760115000003]	86	25.00
>	L[313760115000006]	0	25.00
>	L[313760115000021]	34	25.00
>	L[313760115000031]	73	25.00
>	L[313760115000032]	193	25.00
>	L[313760105000242]	521	25.00
>	L[313760114000002]	241	25.00
>	L[SHC1]	762	20.00
