PHC	Capty	Met	Use
[313760105000013]	3000	2679	89.32
[313760105000076]	3000	2862	95.41
[313760105000102]	6000	2548	42.48
[313760105000122]	3000	2797	93.26
[313760105000125]	3000	2990	99.68
[313760105000132]	3000	2706	90.20
[313760105000135]	6000	2765	46.10
[313760105000139]	6000	5574	92.91
[313760105000168]	3000	2363	78.79
[313760105000186]	3000	3000	100.00
[313760105000201]	3000	2865	95.53
[313760105000235]	3000	2804	93.47
[313760105000239]	6000	2948	49.14
[313760105000259]	3000	2381	79.37
[313760105000264]	3000	686	22.87
[313760105000080*]:	9000	2784	30.94
[313760105000180*]:	9000	5318	59.10
[313760105000242*]:	9000	2923	32.49
[313760105000268*]:	9000	8288	92.09
[313760105000270*]:	9000	2683	29.81
[313760105000285*]:	9000	2908	32.32
[313760114000002*]:	9000	839	9.32
[313760115000023*]:	9000	6739	74.88
