From	To	Team	Qty	Dist (km)
[313760105000102]	[313760105000242]*	eSF	1.00	5.63
[313760105000135]	[313760105000268]*	eSF	1.00	1.86
[313760105000239]	[313760105000080]*	eSF	1.00	0.78
[313760105000239]	[313760105000080]*	eSB	1.00	0.78
[313760105000201]	[313760115000023]*	eMulti	1.00	10.01
[313760105000235]	[313760105000180]*	eMulti	1.00	1.44
[313760105000239]	[313760105000268]*	eMulti	1.00	4.99
[313760105000122]	[313760105000180]*	ACS	1.00	1.00
[313760105000125]	[313760105000135]	ACS	1.00	3.49
[313760105000132]	[313760105000080]*	ACS	1.00	3.06
[313760105000186]	[313760105000268]*	ACS	1.00	0.55
[313760105000186]	[313760115000023]*	ACS	1.00	2.21
[313760105000201]	[313760105000270]*	ACS	1.00	2.22
[313760105000201]	[313760105000285]*	ACS	1.00	2.28
[313760105000235]	[313760105000180]*	ACS	1.00	1.44
[313760105000235]	[313760105000242]*	ACS	1.00	2.60
[313760105000235]	[313760105000285]*	ACS	1.00	2.47
[313760105000239]	[313760105000080]*	ACS	1.00	0.78
[313760105000239]	[313760105000242]*	ACS	1.00	2.50
[313760105000264]	[313760105000242]*	ACS	1.00	4.58
[313760105000264]	[313760105000268]*	ACS	1.00	4.16
