Location	Team	Qty
[313760105000013]	eSB	1.00
[313760105000076]	ACS	1.00
[313760105000080]*	ACS	2.00
[313760105000102]	ACS	2.00
[313760105000135]	ACS	2.00
[313760105000139]	ACS	4.00
[313760105000180]*	eSF	2.00
[313760105000180]*	eSB	2.00
[313760105000180]*	ACS	6.00
[313760105000242]*	eSB	1.00
[313760105000242]*	ACS	1.00
[313760105000268]*	eSF	2.00
[313760105000268]*	eSB	3.00
[313760105000268]*	ACS	10.00
[313760105000270]*	eSF	1.00
[313760105000270]*	eSB	1.00
[313760105000270]*	ACS	3.00
[313760105000285]*	eSF	1.00
[313760105000285]*	eSB	1.00
[313760105000285]*	ACS	2.00
[313760114000002]*	ACS	1.00
[313760115000023]*	eSF	2.00
[313760115000023]*	eSB	2.00
[313760115000023]*	ACS	7.00
