Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[313760105000013]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000013]	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000013]	eMulti	0.0	0.10	0.0	0.0	0.0	0.0	0.1
[313760105000013]	ACS	4.0	4.00	0.0	0.0	4.0	0.0	0.0
[313760105000076]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	-0.0
[313760105000076]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000076]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000076]	ACS	3.0	4.00	0.0	1.0	4.0	0.0	0.0
[313760105000080]*	eSF	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000080]*	eSB	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000080]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000080]*	ACS	0.0	4.00	2.0	2.0	4.0	0.0	0.0
[313760105000102]	eSF	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[313760105000102]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000102]	eMulti	0.0	0.10	0.0	0.0	0.0	0.0	0.1
[313760105000102]	ACS	2.0	4.00	0.0	2.0	4.0	0.0	0.0
[313760105000122]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000122]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000122]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000122]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[313760105000125]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000125]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000125]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000125]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[313760105000132]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000132]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000132]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000132]	ACS	5.0	4.00	-1.0	0.0	4.0	0.0	0.0
[313760105000135]	eSF	2.0	1.05	-1.0	0.0	1.0	0.0	0.0
[313760105000135]	eSB	1.0	1.05	0.0	0.0	1.0	0.0	0.0
[313760105000135]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000135]	ACS	1.0	4.17	1.0	2.0	4.0	0.0	0.2
[313760105000139]	eSF	2.0	1.98	0.0	0.0	2.0	0.0	0.0
[313760105000139]	eSB	2.0	1.98	0.0	0.0	2.0	0.0	0.0
[313760105000139]	eMulti	1.0	0.21	0.0	0.0	1.0	0.8	0.0
[313760105000139]	ACS	4.0	7.88	0.0	4.0	8.0	0.1	0.0
[313760105000168]	eSF	1.0	0.75	0.0	0.0	1.0	0.2	0.0
[313760105000168]	eSB	1.0	0.75	0.0	0.0	1.0	0.2	0.0
[313760105000168]	eMulti	0.0	0.08	0.0	0.0	0.0	0.0	0.1
[313760105000168]	ACS	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[313760105000180]*	eSF	0.0	2.00	0.0	2.0	2.0	0.0	0.0
[313760105000180]*	eSB	0.0	2.00	0.0	2.0	2.0	0.0	0.0
[313760105000180]*	eMulti	0.0	0.21	1.0	0.0	1.0	0.8	0.0
[313760105000180]*	ACS	0.0	8.00	2.0	6.0	8.0	0.0	0.0
[313760105000186]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000186]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000186]	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000186]	ACS	6.0	4.00	-2.0	0.0	4.0	0.0	0.0
[313760105000201]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000201]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000201]	eMulti	1.0	0.11	-1.0	0.0	0.0	0.0	0.1
[313760105000201]	ACS	6.0	4.00	-2.0	0.0	4.0	0.0	0.0
[313760105000235]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000235]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000235]	eMulti	1.0	0.11	-1.0	0.0	0.0	0.0	0.1
[313760105000235]	ACS	7.0	4.00	-3.0	0.0	4.0	0.0	0.0
[313760105000239]	eSF	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[313760105000239]	eSB	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[313760105000239]	eMulti	1.0	0.11	-1.0	0.0	0.0	0.0	0.1
[313760105000239]	ACS	6.0	4.00	-2.0	0.0	4.0	0.0	0.0
[313760105000242]*	eSF	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000242]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000242]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000242]*	ACS	0.0	3.99	3.0	1.0	4.0	0.0	0.0
[313760105000259]	eSF	1.0	0.77	0.0	0.0	1.0	0.2	0.0
[313760105000259]	eSB	0.0	0.77	0.0	0.0	0.0	0.0	0.8
[313760105000259]	eMulti	0.0	0.09	0.0	0.0	0.0	0.0	0.1
[313760105000259]	ACS	3.0	3.09	0.0	0.0	3.0	0.0	0.1
[313760105000264]	eSF	1.0	0.25	0.0	0.0	1.0	0.8	0.0
[313760105000264]	eSB	0.0	0.25	0.0	0.0	0.0	0.0	0.2
[313760105000264]	eMulti	0.0	0.03	0.0	0.0	0.0	0.0	0.0
[313760105000264]	ACS	3.0	1.00	-2.0	0.0	1.0	0.0	0.0
