RC[313760105000002]		253	Dist (km)
>	L[313760105000259]	190	0.78
>	L[313760105000259] tel	9
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000003]		332	Dist (km)
>	L[313760105000259]	249	0.57
>	L[313760105000259] tel	12
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000004]		0	Dist (km)
RC[313760105000005]		502	Dist (km)
>	L[313760105000239]	377	0.32
>	L[313760105000239] tel	18
>	L[SHC1]	75	20.00
>	L[SHC1] tel	3
>	L[THC1]	25	25.00
>	L[THC1] tel	1
RC[313760105000007]		312	Dist (km)
>	L[313760105000077]	273	0.61
>	L[313760105000077] tel	13
>	L[SHC1]	23	20.00
>	L[SHC1] tel	1
RC[313760105000008]		505	Dist (km)
>	L[313760105000077]	464	0.29
>	L[313760105000077] tel	23
>	L[SHC1]	16	20.00
>	L[SHC1] tel	0
RC[313760105000009]		426	Dist (km)
>	L[313760105000076]	320	1.05
>	L[313760105000076] tel	16
>	L[SHC1]	63	20.00
>	L[SHC1] tel	3
>	L[THC1]	21	25.00
>	L[THC1] tel	1
RC[313760105000010]		294	Dist (km)
>	L[313760105000076]	221	0.79
>	L[313760105000076] tel	11
>	L[SHC1]	44	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000011]		305	Dist (km)
>	L[313760105000013]	229	0.61
>	L[313760105000013] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000012]		543	Dist (km)
>	L[313760105000013]	408	0.45
>	L[313760105000013] tel	20
>	L[SHC1]	81	20.00
>	L[SHC1] tel	4
>	L[THC1]	27	25.00
>	L[THC1] tel	1
RC[313760105000013]		620	Dist (km)
>	L[313760105000013]	522	0.00
>	L[SHC1]	93	20.00
>	L[SHC1] tel	4
RC[313760105000015]		607	Dist (km)
>	L[313760105000076]	456	1.21
>	L[313760105000076] tel	22
>	L[SHC1]	91	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[313760105000016]		139	Dist (km)
>	L[313760105000270]	104	1.01
>	L[313760105000270] tel	5
>	L[SHC1]	20	20.00
>	L[SHC1] tel	1
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000020]		380	Dist (km)
>	L[313760105000125]	285	0.74
>	L[313760105000125] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000021]		280	Dist (km)
>	L[313760105000125]	246	0.43
>	L[313760105000125] tel	12
>	L[SHC1]	20	20.00
>	L[SHC1] tel	1
RC[313760105000022]		245	Dist (km)
>	L[313760105000125]	184	0.75
>	L[313760105000125] tel	9
>	L[SHC1]	36	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000024]		94	Dist (km)
>	L[313760105000285]	70	1.88
>	L[313760105000285] tel	3
>	L[SHC1]	14	20.00
>	L[SHC1] tel	0
>	L[THC1]	4	25.00
>	L[THC1] tel	0
RC[313760105000026]		347	Dist (km)
>	L[313760105000235]	261	0.69
>	L[313760105000235] tel	13
>	L[SHC1]	52	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000027]		582	Dist (km)
>	L[313760105000122]	437	0.54
>	L[313760105000122] tel	21
>	L[SHC1]	87	20.00
>	L[SHC1] tel	4
>	L[THC1]	29	25.00
>	L[THC1] tel	1
RC[313760105000028]		317	Dist (km)
>	L[313760105000122]	301	0.31
