PHC[313760105000013]		2756	Dist (km)
>	L[313760105000012]	153	0.45
>	L[313760105000013]	522	0.00
>	L[313760105000081]	145	1.09
>	L[313760105000083]	294	0.69
>	L[313760105000094]	398	0.75
>	L[313760105000095]	248	0.63
>	L[313760105000097]	141	1.21
>	L[313760105000098]	162	1.25
>	L[SHC1]	551	20.00
>	L[THC1]	137	25.00
PHC[313760105000045]		5590	Dist (km)
>	L[313760105000040]	308	0.80
>	L[313760105000045]	401	0.00
>	L[313760105000140]	443	0.26
>	L[313760105000141]	168	0.17
>	L[313760105000142]	226	0.66
>	L[313760105000220]	238	0.73
>	L[313760105000224]	141	1.14
>	L[313760105000225]	171	1.25
>	L[313760105000226]	315	0.82
>	L[313760105000227]	431	0.41
>	L[313760105000228]	227	0.56
>	L[313760105000254]	162	0.40
>	L[313760105000255]	238	0.22
>	L[313760105000281]	119	2.01
>	L[313760105000283]	402	0.52
>	L[SHC1]	1314	20.00
>	L[THC1]	279	25.00
PHC[313760105000048]		35	Dist (km)
>	L[313760105000048]	26	0.00
>	L[SHC1]	7	20.00
>	L[THC1]	1	25.00
PHC[313760105000076]		2825	Dist (km)
>	L[313760105000009]	336	1.05
>	L[313760105000075]	137	0.26
>	L[313760105000076]	141	0.00
>	L[313760105000078]	188	0.64
>	L[313760105000080]	207	0.31
>	L[313760105000082]	139	0.76
>	L[313760105000084]	119	0.36
>	L[313760105000085]	143	0.35
>	L[313760105000086]	308	0.53
>	L[313760105000248]	252	0.94
>	L[313760105000249]	139	0.93
>	L[SHC1]	570	20.00
>	L[THC1]	141	25.00
PHC[313760105000077]		2955	Dist (km)
>	L[313760105000007]	286	0.61
>	L[313760105000008]	488	0.29
>	L[313760105000074]	360	0.49
>	L[313760105000077]	314	0.00
>	L[313760105000211]	202	0.81
>	L[313760105000212]	129	0.72
>	L[313760105000256]	132	0.26
>	L[313760105000257]	183	0.48
>	L[SHC1]	709	20.00
>	L[THC1]	147	25.00
PHC[313760105000102]		2548	Dist (km)
>	L[313760105000102]	927	0.00
>	L[313760105000105]	332	0.80
>	L[313760105000170]	329	0.40
>	L[313760105000275]	271	0.48
>	L[313760105000284]	50	1.41
>	L[SHC1]	509	20.00
>	L[THC1]	127	25.00
PHC[313760105000122]		2798	Dist (km)
>	L[313760105000027]	459	0.54
>	L[313760105000028]	317	0.31
>	L[313760105000122]	378	0.00
>	L[313760105000207]	231	0.47
>	L[313760105000218]	561	0.40
>	L[313760105000250]	152	0.50
>	L[SHC1]	559	20.00
>	L[THC1]	139	25.00
PHC[313760105000125]		2990	Dist (km)
>	L[313760105000020]	300	0.74
>	L[313760105000022]	193	0.75
>	L[313760105000108]	139	0.50
>	L[313760105000109]	313	0.26
>	L[313760105000110]	302	1.04
>	L[313760105000123]	83	0.59
>	L[313760105000124]	162	0.26
>	L[313760105000125]	97	0.00
>	L[313760105000203]	291	0.59
>	L[313760105000204]	262	0.78
>	L[SHC1]	693	20.00
>	L[THC1]	149	25.00
PHC[313760105000132]		2725	Dist (km)
>	L[313760105000036]	198	0.12
>	L[313760105000132]	265	0.00
>	L[313760105000175]	188	0.16
>	L[313760105000237]	411	0.70
>	L[313760105000253]	325	0.78
>	L[313760105000278]	656	0.40
>	L[SHC1]	545	20.00
>	L[THC1]	136	25.00
PHC[313760105000135]		2605	Dist (km)
>	L[313760105000039]	608	0.63
>	L[313760105000135]	268	0.00
>	L[313760105000136]	23	0.53
>	L[313760105000233]	95	1.34
>	L[313760105000260]	227	0.59
>	L[313760105000261]	271	0.51
>	L[313760105000262]	356	0.57
>	L[SHC1]	625	20.00
>	L[THC1]	130	25.00
PHC[313760105000139]		5803	Dist (km)
>	L[313760105000064]	308	0.78
