SHC[SHC1]		25134	Dist (km)
>	L[313760105000002]	53	20.00
>	L[313760105000003]	69	20.00
>	L[313760105000005]	105	20.00
>	L[313760105000010]	294	20.00
>	L[313760105000012]	389	20.00
>	L[313760105000015]	607	20.00
>	L[313760105000016]	29	20.00
>	L[313760105000020]	79	20.00
>	L[313760105000022]	51	20.00
>	L[313760105000024]	19	20.00
>	L[313760105000026]	72	20.00
>	L[313760105000027]	122	20.00
>	L[313760105000029]	40	20.00
>	L[313760105000030]	130	20.00
>	L[313760105000036]	52	20.00
>	L[313760105000039]	92	20.00
>	L[313760105000043]	94	20.00
>	L[313760105000048]	9	20.00
>	L[313760105000058]	37	20.00
>	L[313760105000064]	81	20.00
>	L[313760105000066]	358	20.00
>	L[313760105000068]	40	20.00
>	L[313760105000069]	23	20.00
>	L[313760105000071]	61	20.00
>	L[313760105000076]	37	20.00
>	L[313760105000080]	55	20.00
>	L[313760105000081]	38	20.00
>	L[313760105000082]	36	20.00
>	L[313760105000083]	78	20.00
>	L[313760105000084]	31	20.00
>	L[313760105000085]	38	20.00
>	L[313760105000086]	81	20.00
>	L[313760105000089]	219	20.00
>	L[313760105000090]	83	20.00
>	L[313760105000091]	53	20.00
>	L[313760105000092]	12	20.00
>	L[313760105000094]	106	20.00
>	L[313760105000095]	46	20.00
>	L[313760105000096]	37	20.00
>	L[313760105000098]	30	20.00
>	L[313760105000103]	301	20.00
>	L[313760105000105]	252	20.00
>	L[313760105000106]	162	20.00
>	L[313760105000110]	56	20.00
>	L[313760105000120]	330	20.00
>	L[313760105000124]	43	20.00
>	L[313760105000125]	26	20.00
>	L[313760105000128]	18	20.00
>	L[313760105000132]	70	20.00
>	L[313760105000134]	107	20.00
>	L[313760105000135]	71	20.00
>	L[313760105000136]	278	20.00
>	L[313760105000140]	83	20.00
>	L[313760105000141]	31	20.00
>	L[313760105000144]	17	20.00
>	L[313760105000145]	156	20.00
>	L[313760105000146]	68	20.00
>	L[313760105000150]	20	20.00
>	L[313760105000151]	60	20.00
>	L[313760105000161]	71	20.00
>	L[313760105000162]	68	20.00
>	L[313760105000163]	322	20.00
>	L[313760105000164]	102	20.00
>	L[313760105000165]	265	20.00
>	L[313760105000166]	80	20.00
>	L[313760105000168]	65	20.00
>	L[313760105000171]	80	20.00
>	L[313760105000175]	49	20.00
>	L[313760105000185]	81	20.00
>	L[313760105000186]	52	20.00
>	L[313760105000189]	218	20.00
>	L[313760105000191]	75	20.00
>	L[313760105000192]	19	20.00
>	L[313760105000193]	68	20.00
>	L[313760105000195]	79	20.00
>	L[313760105000196]	27	20.00
>	L[313760105000198]	262	20.00
>	L[313760105000199]	86	20.00
>	L[313760105000200]	250	20.00
>	L[313760105000202]	372	20.00
>	L[313760105000203]	77	20.00
>	L[313760105000205]	29	20.00
>	L[313760105000207]	158	20.00
>	L[313760105000208]	405	20.00
>	L[313760105000209]	129	20.00
>	L[313760105000215]	39	20.00
>	L[313760105000216]	37	20.00
>	L[313760105000219]	562	20.00
>	L[313760105000220]	48	20.00
>	L[313760105000222]	164	20.00
>	L[313760105000223]	443	20.00
>	L[313760105000224]	37	20.00
>	L[313760105000225]	45	20.00
>	L[313760105000226]	83	20.00
>	L[313760105000228]	60	20.00
>	L[313760105000229]	578	20.00
>	L[313760105000231]	25	20.00
>	L[313760105000232]	51	20.00
>	L[313760105000233]	25	20.00
>	L[313760105000234]	388	20.00
>	L[313760105000235]	61	20.00
>	L[313760105000236]	309	20.00
>	L[313760105000238]	255	20.00
>	L[313760105000242]	59	20.00
>	L[313760105000246]	36	20.00
>	L[313760105000247]	148	20.00
>	L[313760105000248]	67	20.00
>	L[313760105000249]	37	20.00
>	L[313760105000253]	4	20.00
>	L[313760105000255]	63	20.00
>	L[313760105000258]	63	20.00
>	L[313760105000259]	423	20.00
>	L[313760105000267]	55	20.00
>	L[313760105000271]	68	20.00
>	L[313760105000274]	341	20.00
>	L[313760105000276]	102	20.00
>	L[313760105000277]	30	20.00
>	L[313760105000279]	346	20.00
>	L[313760105000281]	31	20.00
>	L[313760105000282]	69	20.00
>	L[313760105000284]	13	20.00
>	L[313760105000285]	38	20.00
>	L[313760114000002]	27	20.00
>	L[313760114000008]	270	20.00
>	L[313760114000009]	4	20.00
>	L[313760115000001]	34	20.00
>	L[313760115000002]	19	20.00
>	L[313760115000003]	86	20.00
>	L[313760115000005]	15	20.00
>	L[313760115000007]	10	20.00
>	L[313760115000009]	58	20.00
>	L[313760115000010]	28	20.00
>	L[313760115000011]	74	20.00
>	L[313760115000014]	38	20.00
>	L[313760115000018]	82	20.00
>	L[313760115000019]	9	20.00
>	L[313760115000021]	34	20.00
>	L[313760115000022]	51	20.00
>	L[313760115000023]	11	20.00
>	L[313760115000024]	63	20.00
>	L[313760115000025]	70	20.00
>	L[313760115000026]	56	20.00
>	L[313760115000029]	25	20.00
>	L[313760115000030]	15	20.00
>	L[313760115000031]	352	20.00
>	L[313760115000032]	71	20.00
>	L[313760115000034]	48	20.00
>	L[313760105000045]	1137	20.00
>	L[313760105000077]	857	20.00
>	L[313760105000132]	158	20.00
>	L[313760105000168]	654	20.00
>	L[313760105000177]	1567	20.00
>	L[313760105000201]	0	20.00
>	L[313760105000239]	466	20.00
>	L[313760105000264]	47	20.00
>	L[313760105000285]	344	20.00
>	L[313760115000023]	1048	20.00
>	L[THC1]	2513	20.00
