THC[THC1]		8441	Dist (km)
>	L[313760105000007]	25	25.00
>	L[313760105000008]	16	25.00
>	L[313760105000009]	89	25.00
>	L[313760105000011]	305	25.00
>	L[313760105000013]	97	25.00
>	L[313760105000021]	280	25.00
>	L[313760105000040]	81	25.00
>	L[313760105000050]	3	25.00
>	L[313760105000067]	40	25.00
>	L[313760105000074]	67	25.00
>	L[313760105000075]	36	25.00
>	L[313760105000078]	49	25.00
>	L[313760105000087]	179	25.00
>	L[313760105000088]	69	25.00
>	L[313760105000097]	37	25.00
>	L[313760105000099]	467	25.00
>	L[313760105000102]	178	25.00
>	L[313760105000108]	26	25.00
>	L[313760105000109]	83	25.00
>	L[313760105000114]	11	25.00
>	L[313760105000118]	278	25.00
>	L[313760105000123]	15	25.00
>	L[313760105000138]	116	25.00
>	L[313760105000139]	68	25.00
>	L[313760105000170]	87	25.00
>	L[313760105000182]	507	25.00
>	L[313760105000183]	354	25.00
>	L[313760105000184]	404	25.00
>	L[313760105000187]	89	25.00
>	L[313760105000190]	293	25.00
>	L[313760105000194]	1	25.00
>	L[313760105000201]	61	25.00
>	L[313760105000204]	48	25.00
>	L[313760105000206]	22	25.00
>	L[313760105000211]	37	25.00
>	L[313760105000212]	24	25.00
>	L[313760105000221]	2	25.00
>	L[313760105000227]	114	25.00
>	L[313760105000251]	165	25.00
>	L[313760105000254]	43	25.00
>	L[313760105000263]	3	25.00
>	L[313760105000266]	64	25.00
>	L[313760105000269]	313	25.00
>	L[313760105000270]	54	25.00
>	L[313760105000273]	402	25.00
>	L[313760105000275]	72	25.00
>	L[313760105000280]	140	25.00
>	L[313760105000283]	75	25.00
>	L[313760114000007]	345	25.00
>	L[313760114000010]	9	25.00
>	L[313760115000006]	0	25.00
>	L[313760115000008]	74	25.00
>	L[313760115000015]	1	25.00
>	L[313760115000020]	194	25.00
>	L[313760115000027]	71	25.00
>	L[313760115000033]	52	25.00
>	L[313760105000122]	138	25.00
>	L[313760105000243]	210	25.00
>	L[313760115000023]	495	25.00
>	L[SHC1]	844	20.00
