PHC	Capty	Met	Use
[313760105000013]	3000	2756	91.90
[313760105000076]	3000	2825	94.19
[313760105000102]	6000	2548	42.48
[313760105000122]	3000	2798	93.30
[313760105000125]	3000	2990	99.68
[313760105000132]	3000	2725	90.84
[313760105000135]	6000	2605	43.43
[313760105000139]	6000	5803	96.72
[313760105000168]	3000	2364	78.82
[313760105000186]	3000	2814	93.80
[313760105000201]	3000	2865	95.53
[313760105000235]	3000	2804	93.47
[313760105000239]	6000	2889	48.16
[313760105000259]	3000	2381	79.37
[313760105000264]	3000	686	22.88
[313760105000045*]:	9000	5590	62.12
[313760105000048*]:	9000	35	0.39
[313760105000077*]:	9000	2955	32.84
[313760105000177*]:	9000	5405	60.06
[313760105000243*]:	9000	2823	31.37
[313760105000270*]:	9000	2818	31.31
[313760105000285*]:	9000	2909	32.33
[313760115000023*]:	9000	6723	74.71
