From	To	Team	Qty	Dist (km)
[313760105000102]	[313760105000270]*	eSF	1.00	2.78
[313760105000135]	[313760105000243]*	eSF	1.00	1.59
[313760105000239]	[313760105000077]*	eSF	1.00	0.47
[313760105000239]	[313760105000077]*	eSB	1.00	0.47
[313760105000201]	[313760115000023]*	eMulti	1.00	10.01
[313760105000235]	[313760105000177]*	eMulti	1.00	1.22
[313760105000239]	[313760105000045]*	eMulti	1.00	4.64
[313760105000122]	[313760105000177]*	ACS	1.00	0.83
[313760105000125]	[313760105000177]*	ACS	1.00	1.80
[313760105000132]	[313760105000243]*	ACS	1.00	0.37
[313760105000186]	[313760105000045]*	ACS	1.00	0.43
[313760105000186]	[313760115000023]*	ACS	1.00	2.21
[313760105000201]	[313760105000270]*	ACS	1.00	2.22
[313760105000201]	[313760105000285]*	ACS	1.00	2.28
[313760105000235]	[313760105000177]*	ACS	1.00	1.22
[313760105000235]	[313760105000243]*	ACS	1.00	2.31
[313760105000235]	[313760105000285]*	ACS	1.00	2.47
[313760105000239]	[313760105000077]*	ACS	1.00	0.47
[313760105000239]	[313760105000243]*	ACS	1.00	2.58
[313760105000264]	[313760105000045]*	ACS	1.00	4.44
[313760105000264]	[313760105000077]*	ACS	1.00	4.88
