Location	Team	Qty
[313760105000013]	eSB	1.00
[313760105000045]*	eSF	2.00
[313760105000045]*	eSB	2.00
[313760105000045]*	ACS	6.00
[313760105000076]	ACS	1.00
[313760105000077]*	ACS	2.00
[313760105000102]	ACS	2.00
[313760105000135]	ACS	3.00
[313760105000139]	ACS	4.00
[313760105000177]*	eSF	2.00
[313760105000177]*	eSB	2.00
[313760105000177]*	ACS	5.00
[313760105000243]*	eSB	1.00
[313760105000243]*	ACS	1.00
[313760105000270]*	eSB	1.00
[313760105000270]*	ACS	3.00
[313760105000285]*	eSF	1.00
[313760105000285]*	eSB	1.00
[313760105000285]*	ACS	2.00
[313760115000023]*	eSF	2.00
[313760115000023]*	eSB	2.00
[313760115000023]*	ACS	7.00
