PHC[313760105000013]		6379	Dist (km)
>	L[313760105000011]	275	0.61
>	L[313760105000012]	543	0.45
>	L[313760105000013]	620	0.00
>	L[313760105000016]	51	1.34
>	L[313760105000083]	373	0.69
>	L[313760105000087]	179	1.22
>	L[313760105000089]	219	0.53
>	L[313760105000090]	505	0.54
>	L[313760105000092]	58	1.52
>	L[313760105000094]	505	0.75
>	L[313760105000098]	193	1.25
>	L[313760105000144]	70	2.04
>	L[313760105000145]	321	2.39
>	L[313760105000270]	288	0.94
>	L[313760105000271]	326	0.90
>	L[SHC1]	1531	20.00
>	L[THC1]	318	25.00
PHC[313760105000076]		6268	Dist (km)
>	L[313760105000009]	426	1.05
>	L[313760105000015]	607	1.21
>	L[313760105000074]	428	0.54
>	L[313760105000075]	174	0.26
>	L[313760105000076]	133	0.00
>	L[313760105000077]	314	0.26
>	L[313760105000078]	238	0.64
>	L[313760105000080]	263	0.31
>	L[313760105000082]	176	0.76
>	L[313760105000084]	151	0.36
>	L[313760105000085]	182	0.35
>	L[313760105000086]	390	0.53
>	L[313760105000212]	154	0.82
>	L[313760105000248]	320	0.94
>	L[313760105000249]	177	0.93
>	L[313760105000256]	133	0.38
>	L[313760105000257]	184	0.54
>	L[SHC1]	1504	20.00
>	L[THC1]	313	25.00
PHC[313760105000102]		3304	Dist (km)
>	L[313760105000102]	50	0.00
>	L[313760105000103]	237	0.87
>	L[313760105000105]	462	0.80
>	L[313760105000114]	9	2.44
>	L[313760105000170]	329	0.40
>	L[313760105000272]	337	2.30
>	L[313760105000273]	319	2.55
>	L[313760105000274]	269	0.47
>	L[313760105000275]	187	0.48
>	L[313760105000285]	142	2.18
>	L[SHC1]	792	20.00
>	L[THC1]	165	25.00
PHC[313760105000122]		6533	Dist (km)
>	L[313760105000027]	582	0.54
>	L[313760105000122]	378	0.00
>	L[313760105000128]	773	0.70
>	L[313760105000129]	378	0.97
>	L[313760105000147]	305	2.17
>	L[313760105000172]	123	3.00
>	L[313760105000177]	320	0.83
>	L[313760105000178]	38	0.84
>	L[313760105000179]	231	1.09
>	L[313760105000207]	262	0.47
>	L[313760105000217]	369	0.65
>	L[313760105000218]	561	0.40
>	L[313760105000250]	152	0.50
>	L[313760105000251]	165	0.36
>	L[SHC1]	1568	20.00
>	L[THC1]	326	25.00
PHC[313760105000125]		3669	Dist (km)
>	L[313760105000020]	300	0.74
>	L[313760105000021]	6	0.43
>	L[313760105000099]	368	1.53
>	L[313760105000106]	373	1.34
>	L[313760105000108]	166	0.50
>	L[313760105000109]	313	0.26
>	L[313760105000110]	330	1.04
>	L[313760105000165]	209	0.32
>	L[313760105000203]	291	0.59
>	L[313760105000204]	245	0.78
>	L[SHC1]	880	20.00
>	L[THC1]	183	25.00
PHC[313760105000132]		6296	Dist (km)
>	L[313760105000036]	251	0.12
>	L[313760105000037]	33	0.38
>	L[313760105000132]	336	0.00
>	L[313760105000133]	493	0.77
>	L[313760105000134]	253	0.93
>	L[313760105000175]	238	0.16
>	L[313760105000236]	309	0.58
>	L[313760105000237]	411	0.70
>	L[313760105000242]	282	0.61
>	L[313760105000243]	184	0.37
>	L[313760105000252]	348	0.98
>	L[313760105000253]	330	0.78
>	L[313760105000278]	656	0.40
>	L[313760105000279]	346	0.52
>	L[SHC1]	1511	20.00
>	L[THC1]	314	25.00
PHC[313760105000135]		3250	Dist (km)
>	L[313760105000040]	308	0.86
>	L[313760105000135]	268	0.00
>	L[313760105000136]	238	0.53
>	L[313760105000142]	20	0.67
>	L[313760105000219]	443	0.95
>	L[313760105000220]	226	1.12
>	L[313760105000232]	257	1.52
>	L[313760105000260]	179	0.59
>	L[313760105000261]	82	0.51
>	L[313760105000262]	281	0.57
>	L[SHC1]	780	20.00
>	L[THC1]	162	25.00
PHC[313760105000139]		11079	Dist (km)
>	L[313760105000064]	390	0.78
>	L[313760105000138]	28	0.21
>	L[313760105000139]	255	0.00
>	L[313760105000150]	545	0.95
>	L[313760105000152]	124	3.25
>	L[313760105000162]	258	0.42
>	L[313760105000163]	254	0.44
>	L[313760105000164]	490	0.60
>	L[313760105000182]	400	0.63
>	L[313760105000183]	614	0.62
>	L[313760105000184]	404	0.74
>	L[313760105000185]	388	0.90
>	L[313760105000190]	231	1.37
>	L[313760105000191]	284	1.32
>	L[313760105000193]	438	1.10
>	L[313760115000003]	412	3.06
>	L[313760115000014]	182	1.36
>	L[313760115000020]	925	2.31
>	L[313760115000022]	243	2.22
>	L[313760115000023]	54	2.03
>	L[313760115000025]	334	2.17
>	L[313760115000026]	271	2.34
>	L[313760115000027]	339	2.77
>	L[SHC1]	2659	20.00
>	L[THC1]	553	25.00
PHC[313760105000168]		2614	Dist (km)
>	L[313760105000029]	191	0.66
>	L[313760105000067]	193	0.44
>	L[313760105000126]	178	0.37
>	L[313760105000127]	425	0.25
>	L[313760105000168]	312	0.00
>	L[313760105000169]	241	0.30
>	L[313760105000176]	316	0.26
>	L[SHC1]	627	20.00
>	L[THC1]	130	25.00
PHC[313760105000186]		6347	Dist (km)
>	L[313760105000043]	353	0.30
>	L[313760105000140]	416	0.29
>	L[313760105000186]	199	0.00
>	L[313760105000187]	401	0.21
>	L[313760105000222]	109	1.15
>	L[313760105000223]	349	0.77
>	L[313760105000225]	171	1.59
>	L[313760105000226]	315	1.18
>	L[313760105000228]	170	0.75
>	L[313760105000229]	456	1.18
>	L[313760105000254]	162	0.75
>	L[313760105000255]	238	0.65
>	L[313760105000267]	208	0.76
>	L[313760105000268]	315	0.55
>	L[313760105000282]	259	0.38
>	L[313760105000283]	377	0.70
>	L[SHC1]	1523	20.00
>	L[THC1]	317	25.00
PHC[313760105000201]		3023	Dist (km)
>	L[313760105000171]	382	0.35
>	L[313760105000198]	262	0.17
>	L[313760105000199]	413	0.28
>	L[313760105000200]	250	0.40
>	L[313760105000201]	293	0.00
>	L[313760105000202]	372	0.26
>	L[313760105000265]	174	1.33
>	L[SHC1]	725	20.00
>	L[THC1]	151	25.00
PHC[313760105000235]		6205	Dist (km)
>	L[313760105000024]	94	2.76
>	L[313760105000026]	347	0.69
>	L[313760105000050]	3	4.02
>	L[313760105000058]	177	2.52
>	L[313760105000112]	86	1.59
>	L[313760105000118]	264	1.38
>	L[313760105000120]	330	1.02
>	L[313760105000161]	452	0.72
>	L[313760105000166]	385	1.26
>	L[313760105000167]	333	1.28
>	L[313760105000173]	187	1.86
>	L[313760105000174]	153	2.38
>	L[313760105000205]	142	0.94
>	L[313760105000206]	109	0.68
>	L[313760105000215]	189	2.63
>	L[313760105000216]	178	1.67
>	L[313760105000230]	75	2.92
>	L[313760105000231]	120	3.11
>	L[313760105000234]	388	0.35
>	L[313760105000235]	393	0.00
>	L[SHC1]	1489	20.00
>	L[THC1]	310	25.00
PHC[313760105000239]		2908	Dist (km)
>	L[313760105000005]	309	0.32
>	L[313760105000008]	425	0.47
>	L[313760105000071]	232	0.69
>	L[313760105000072]	246	0.57
>	L[313760105000211]	189	0.83
>	L[313760105000238]	261	1.01
>	L[313760105000239]	349	0.00
>	L[313760105000241]	50	0.29
>	L[SHC1]	698	20.00
>	L[THC1]	145	25.00
PHC[313760105000259]		3119	Dist (km)
>	L[313760105000002]	199	0.78
>	L[313760105000003]	262	0.57
>	L[313760105000030]	182	0.58
>	L[313760105000066]	282	0.49
>	L[313760105000068]	154	0.35
>	L[313760105000069]	90	0.24
>	L[313760105000188]	283	0.63
>	L[313760105000195]	62	1.89
>	L[313760105000196]	103	1.19
>	L[313760105000258]	239	0.28
>	L[313760105000259]	142	0.00
>	L[313760105000276]	97	0.53
>	L[313760105000277]	114	0.79
>	L[SHC1]	748	20.00
>	L[THC1]	155	25.00
