SHC[SHC1]		24176	Dist (km)
>	L[313760105000002]	53	20.00
>	L[313760105000003]	69	20.00
>	L[313760105000005]	192	20.00
>	L[313760105000008]	79	20.00
>	L[313760105000010]	294	20.00
>	L[313760105000016]	87	20.00
>	L[313760105000020]	79	20.00
>	L[313760105000022]	245	20.00
>	L[313760105000030]	48	20.00
>	L[313760105000037]	384	20.00
>	L[313760105000039]	701	20.00
>	L[313760105000040]	58	20.00
>	L[313760105000043]	94	20.00
>	L[313760105000045]	154	20.00
>	L[313760105000066]	75	20.00
>	L[313760105000068]	40	20.00
>	L[313760105000069]	23	20.00
>	L[313760105000071]	61	20.00
>	L[313760105000072]	64	20.00
>	L[313760105000076]	45	20.00
>	L[313760105000090]	27	20.00
>	L[313760105000091]	339	20.00
>	L[313760105000096]	180	20.00
>	L[313760105000097]	179	20.00
>	L[313760105000099]	98	20.00
>	L[313760105000101]	37	20.00
>	L[313760105000102]	1055	20.00
>	L[313760105000103]	63	20.00
>	L[313760105000105]	122	20.00
>	L[313760105000106]	399	20.00
>	L[313760105000110]	28	20.00
>	L[313760105000118]	36	20.00
>	L[313760105000135]	71	20.00
>	L[313760105000136]	63	20.00
>	L[313760105000138]	525	20.00
>	L[313760105000139]	68	20.00
>	L[313760105000140]	110	20.00
>	L[313760105000141]	200	20.00
>	L[313760105000142]	205	20.00
>	L[313760105000144]	13	20.00
>	L[313760105000145]	60	20.00
>	L[313760105000147]	0	20.00
>	L[313760105000170]	87	20.00
>	L[313760105000180]	373	20.00
>	L[313760105000182]	106	20.00
>	L[313760105000187]	26	20.00
>	L[313760105000188]	75	20.00
>	L[313760105000190]	61	20.00
>	L[313760105000191]	75	20.00
>	L[313760105000194]	8	20.00
>	L[313760105000195]	16	20.00
>	L[313760105000196]	27	20.00
>	L[313760105000203]	77	20.00
>	L[313760105000204]	65	20.00
>	L[313760105000207]	127	20.00
>	L[313760105000208]	405	20.00
>	L[313760105000209]	619	20.00
>	L[313760105000210]	48	20.00
>	L[313760105000211]	50	20.00
>	L[313760105000213]	321	20.00
>	L[313760105000214]	371	20.00
>	L[313760105000219]	118	20.00
>	L[313760105000221]	2	20.00
>	L[313760105000222]	54	20.00
>	L[313760105000223]	93	20.00
>	L[313760105000224]	179	20.00
>	L[313760105000225]	45	20.00
>	L[313760105000226]	83	20.00
>	L[313760105000227]	546	20.00
>	L[313760105000229]	121	20.00
>	L[313760105000230]	14	20.00
>	L[313760105000232]	68	20.00
>	L[313760105000238]	69	20.00
>	L[313760105000240]	240	20.00
>	L[313760105000241]	307	20.00
>	L[313760105000245]	111	20.00
>	L[313760105000254]	43	20.00
>	L[313760105000255]	63	20.00
>	L[313760105000258]	63	20.00
>	L[313760105000259]	280	20.00
>	L[313760105000260]	47	20.00
>	L[313760105000262]	74	20.00
>	L[313760105000263]	3	20.00
>	L[313760105000265]	154	20.00
>	L[313760105000266]	305	20.00
>	L[313760105000268]	83	20.00
>	L[313760105000269]	424	20.00
>	L[313760105000270]	54	20.00
>	L[313760105000272]	89	20.00
>	L[313760105000273]	82	20.00
>	L[313760105000274]	71	20.00
>	L[313760105000275]	156	20.00
>	L[313760105000276]	388	20.00
>	L[313760105000282]	69	20.00
>	L[313760105000285]	38	20.00
>	L[313760114000002]	133	20.00
>	L[313760114000007]	72	20.00
>	L[313760114000008]	116	20.00
>	L[313760114000009]	4	20.00
>	L[313760114000010]	9	20.00
>	L[313760115000006]	4	20.00
>	L[313760115000007]	51	20.00
>	L[313760115000009]	279	20.00
>	L[313760115000015]	8	20.00
>	L[313760115000021]	163	20.00
>	L[313760115000024]	303	20.00
>	L[313760115000032]	340	20.00
>	L[313760105000076]	1478	20.00
>	L[313760105000132]	1259	20.00
>	L[313760105000139]	643	20.00
>	L[313760105000168]	758	20.00
>	L[313760105000201]	35	20.00
>	L[313760105000235]	1799	20.00
>	L[313760105000264]	68	20.00
>	L[THC1]	2417	20.00
