THC[THC1]		7791	Dist (km)
>	L[313760105000007]	312	25.00
>	L[313760105000011]	29	25.00
>	L[313760105000021]	273	25.00
>	L[313760105000028]	317	25.00
>	L[313760105000040]	23	25.00
>	L[313760105000045]	246	25.00
>	L[313760105000048]	36	25.00
>	L[313760105000081]	184	25.00
>	L[313760105000088]	331	25.00
>	L[313760105000095]	295	25.00
>	L[313760105000109]	83	25.00
>	L[313760105000114]	1	25.00
>	L[313760105000123]	99	25.00
>	L[313760105000124]	206	25.00
>	L[313760105000125]	124	25.00
>	L[313760105000151]	290	25.00
>	L[313760105000162]	68	25.00
>	L[313760105000163]	67	25.00
>	L[313760105000165]	55	25.00
>	L[313760105000178]	322	25.00
>	L[313760105000186]	52	25.00
>	L[313760105000189]	218	25.00
>	L[313760105000192]	92	25.00
>	L[313760105000220]	60	25.00
>	L[313760105000228]	117	25.00
>	L[313760105000233]	121	25.00
>	L[313760105000239]	93	25.00
>	L[313760105000243]	181	25.00
>	L[313760105000246]	174	25.00
>	L[313760105000247]	148	25.00
>	L[313760105000261]	188	25.00
>	L[313760105000264]	155	25.00
>	L[313760105000267]	55	25.00
>	L[313760105000277]	30	25.00
>	L[313760105000281]	151	25.00
>	L[313760105000283]	100	25.00
>	L[313760105000284]	64	25.00
>	L[313760115000005]	74	25.00
>	L[313760115000019]	12	25.00
>	L[313760115000029]	122	25.00
>	L[313760115000030]	73	25.00
>	L[313760115000031]	352	25.00
>	L[313760115000034]	231	25.00
>	L[313760105000013]	422	25.00
>	L[313760105000122]	349	25.00
>	L[313760105000264]	7	25.00
>	L[SHC1]	779	20.00
