PHC     :	Capty	Exp	TCapty	Met	Use(%)
[313760105000013]:	3000	6000	9000	6379	 70%
[313760105000076]:	3000	6000	9000	6268	 69%
[313760105000102]:	6000	0	6000	3304	 55%
[313760105000122]:	3000	6000	9000	6533	 72%
[313760105000125]:	3000	3000	6000	3669	 61%
[313760105000132]:	3000	6000	9000	6296	 69%
[313760105000135]:	6000	0	6000	3250	 54%
[313760105000139]:	6000	6000	12000	11079	 92%
[313760105000168]:	3000	0	3000	2614	 87%
[313760105000186]:	3000	6000	9000	6347	 70%
[313760105000201]:	3000	3000	6000	3023	 50%
[313760105000235]:	3000	6000	9000	6205	 68%
[313760105000239]:	6000	0	6000	2908	 48%
[313760105000259]:	3000	3000	6000	3119	 51%
[313760105000264]:	3000	0	3000	798	 26%
[313760114000002*]:	9000	-	9000	624	  6%
[313760115000006*]:	9000	-	9000	2500	 27%
