Location	Team	Qty
[313760105000013]	eSF	1.00
[313760105000013]	eSB	2.00
[313760105000013]	ACS	4.00
[313760105000076]	eSF	1.00
[313760105000076]	eSB	1.00
[313760105000076]	ACS	5.00
[313760105000102]	ACS	2.00
[313760105000122]	eSF	1.00
[313760105000122]	eSB	1.00
[313760105000122]	ACS	3.00
[313760105000132]	eSF	1.00
[313760105000132]	eSB	1.00
[313760105000132]	ACS	3.00
[313760105000135]	ACS	3.00
[313760105000139]	eSF	2.00
[313760105000139]	eSB	2.00
[313760105000139]	ACS	12.00
[313760105000168]	ACS	1.00
[313760105000186]	eSB	1.00
[313760105000186]	ACS	2.00
[313760105000235]	eSB	1.00
[313760105000259]	eSB	1.00
[313760115000006]*	ACS	1.00
