From	To	Team	Qty	Dist (km)
[PHC1]	[PHC3]	eSF	1.00	6.49
[PHC1]	[PHC9]*	eSF	1.00	6.15
[PHC1]	[PHC10]*	eSF	1.00	5.94
[PHC5]	[PHC9]*	eSF	1.00	8.78
[PHC2]	[PHC3]	eSB	1.00	21.84
[PHC2]	[PHC10]*	eSB	1.00	16.17
[PHC6]	[PHC9]*	eMulti	1.00	5.29
[PHC1]	[PHC4]	ACS	1.00	23.72
[PHC1]	[PHC9]*	ACS	5.00	6.15
[PHC1]	[PHC10]*	ACS	1.00	5.94
[PHC2]	[PHC4]	ACS	1.00	19.35
[PHC2]	[PHC9]*	ACS	1.00	22.03
[PHC2]	[PHC10]*	ACS	1.00	16.17
[PHC3]	[PHC4]	ACS	1.00	12.53
[PHC3]	[PHC9]*	ACS	1.00	16.04
[PHC3]	[PHC10]*	ACS	1.00	12.94
[PHC5]	[PHC9]*	ACS	1.00	8.78
[PHC5]	[PHC10]*	ACS	1.00	9.21
