Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[PHC1]	eSF	4.0	1.24	-3.0	0.0	1.0	0.0	0.2
[PHC1]	eSB	1.0	1.24	0.0	0.0	1.0	0.0	0.2
[PHC1]	eMulti	1.0	0.14	0.0	0.0	1.0	0.9	0.0
[PHC1]	ACS	12.0	5.00	-7.0	0.0	5.0	0.0	0.0
[PHC2]	eSF	1.0	1.35	0.0	0.0	1.0	0.0	0.4
[PHC2]	eSB	3.0	1.35	-2.0	0.0	1.0	0.0	0.4
[PHC2]	eMulti	0.0	0.14	0.0	0.0	0.0	0.0	0.1
[PHC2]	ACS	10.0	5.32	-3.0	0.0	7.0	1.7	0.0
[PHC3]	eSF	1.0	1.86	1.0	0.0	2.0	0.1	0.0
[PHC3]	eSB	1.0	1.86	1.0	0.0	2.0	0.1	0.0
[PHC3]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[PHC3]	ACS	20.0	7.48	-3.0	0.0	17.0	9.5	0.0
[PHC4]	eSF	1.0	3.00	0.0	2.0	3.0	0.0	0.0
[PHC4]	eSB	3.0	3.00	0.0	0.0	3.0	0.0	0.0
[PHC4]	eMulti	1.0	0.32	0.0	0.0	1.0	0.7	0.0
[PHC4]	ACS	3.0	12.00	3.0	6.0	12.0	0.0	0.0
[PHC5]	eSF	2.0	1.27	-1.0	0.0	1.0	0.0	0.3
[PHC5]	eSB	1.0	1.27	0.0	0.0	1.0	0.0	0.3
[PHC5]	eMulti	0.0	0.13	0.0	0.0	0.0	0.0	0.1
[PHC5]	ACS	7.0	5.00	-2.0	0.0	5.0	0.0	0.0
[PHC6]	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[PHC6]	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[PHC6]	eMulti	1.0	0.11	-1.0	0.0	0.0	0.0	0.1
[PHC6]	ACS	0.0	4.00	0.0	4.0	4.0	0.0	0.0
[PHC9]*	eSF	0.0	1.99	2.0	0.0	2.0	0.0	0.0
[PHC9]*	eSB	0.0	1.99	0.0	2.0	2.0	0.0	0.0
[PHC9]*	eMulti	0.0	0.22	1.0	0.0	1.0	0.8	0.0
[PHC9]*	ACS	0.0	8.00	8.0	0.0	8.0	0.0	0.0
[PHC10]*	eSF	0.0	1.01	1.0	0.0	1.0	0.0	0.0
[PHC10]*	eSB	0.0	1.01	1.0	0.0	1.0	0.0	0.0
[PHC10]*	eMulti	0.0	0.10	0.0	0.0	0.0	0.0	0.1
[PHC10]*	ACS	0.0	4.00	4.0	0.0	4.0	0.0	0.0
